"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Muy positiva",0.505,0.553,0.451,0.425,0.561,0.509,0.431,0.441,0.514,0.542,0.699,0.584,0.148,0.337,0.49,0.523,0.473,0.697,0.156,0.389,0.701,0.505,0.504
"Positiva",0.165,0.139,0.195,0.123,0.147,0.217,0.204,0.169,0.153,0.18,0.088,0.246,0.316,0.176,0.157,0.162,0.218,0.067,0.334,0.164,0.244,0.18,0.152
"Neutral",0.136,0.121,0.152,0.219,0.124,0.08,0.146,0.107,0.153,0.135,0.083,0.098,0.21,0.104,0.179,0.16,0.152,0.09,0.199,0.098,0,0.145,0.127
"Algo negativa",0.091,0.083,0.099,0.06,0.108,0.082,0.094,0.148,0.084,0.056,0.029,0.032,0.116,0.343,0.109,0.084,0.081,0.042,0.058,0.229,0.043,0.069,0.111
"Negativa",0.084,0.089,0.078,0.173,0.043,0.083,0.082,0.104,0.075,0.079,0.078,0.005,0.202,0.04,0.053,0.062,0.068,0.065,0.244,0.072,0.012,0.084,0.084
"No sabe",0.019,0.015,0.025,0,0.017,0.029,0.043,0.031,0.021,0.008,0.023,0.035,0.008,0,0.012,0.009,0.008,0.039,0.009,0.048,0,0.017,0.022
