"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P07","Siempre",0.306,0.261,0.211,0.25
"P07","Casi siempre",0.345,0.354,0.316,0.347
"P07","Casi nunca",0.266,0.26,0.316,0.186
"P07","Nunca, pero esta es una excepción",0.083,0.125,0.157,0.217
"P08","Muy buena",0.556,0.083,0.038,0.054
"P08","Buena",0.148,0.056,0.169,0.154
"P08","Ni buena ni mala",0.161,0.329,0.363,0.454
"P08","Mala",0.045,0.251,0.205,0.064
"P08","Muy mala",0.037,0.246,0.116,0.034
"P08","No sabe",0.053,0.035,0.109,0.24
"P09","Muy positiva",0.389,0.034,0.032,0.094
"P09","Positiva",0.326,0.043,0.054,0.029
"P09","Indiferente",0.113,0.135,0.368,0.631
"P09","Negativa",0.06,0.137,0.24,0.1
"P09","Muy negativa",0.112,0.651,0.306,0.146
"P13","Lo votaría",0.91,0.065,0.013,0.035
"P13","Puede que lo vote",0.053,0.068,0.015,0.135
"P13","Nunca lo votaría",0.035,0.847,0.865,0.297
"P13","No sabe",0.002,0.02,0.107,0.533
"P14","Lo votaría",0.062,0.793,0.058,0.106
"P14","Puede que lo vote",0.042,0.102,0.158,0.177
"P14","Nunca lo votaría",0.873,0.07,0.685,0.244
"P14","No sabe",0.023,0.035,0.099,0.473
