"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Siempre",0.286,0.264,0.304,0.25,0.262,0.302,0.351,0.293,0.28,0.286,0.299,0.269,0.232,0.288
"Casi siempre",0.339,0.305,0.368,0.256,0.323,0.38,0.407,0.348,0.339,0.331,0.327,0.291,0.496,0.353
"Casi nunca",0.266,0.292,0.243,0.347,0.277,0.26,0.166,0.248,0.269,0.279,0.274,0.325,0.175,0.243
"Nunca, pero esta es una excepción",0.109,0.139,0.085,0.147,0.138,0.058,0.076,0.111,0.112,0.104,0.1,0.115,0.097,0.116
