"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.458,0.45,0.464,0.396,0.508,0.477,0.392,0.442,0.495,0.428,0.415,0.449,0.358,0.512
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.435,0.462,0.413,0.514,0.392,0.412,0.476,0.441,0.406,0.466,0.466,0.439,0.621,0.384
"En blanco",0.063,0.058,0.067,0.044,0.075,0.056,0.068,0.065,0.052,0.075,0.08,0.063,0.016,0.054
"No sabe",0.044,0.03,0.056,0.046,0.025,0.055,0.064,0.052,0.047,0.031,0.039,0.049,0.005,0.05
