"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Si",0.397,0.418,0.374,0.463,0.358,0.415,0.35,0.333,0.452,0.407,0.541,0.349,0.458,0.275,0.301,0.447
"No",0.603,0.582,0.626,0.537,0.642,0.585,0.65,0.667,0.548,0.593,0.459,0.651,0.542,0.725,0.699,0.553
