"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos ","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.403,0.411,0.512,0.549,0.368
"P04","Realizo changas o trabajos de vez en cuando",0.201,0.167,0.17,0.225,0.219
"P04","No tengo trabajo",0.152,0.134,0.198,0.118,0.213
"P04","Soy jubilado o pensionado",0.244,0.288,0.12,0.108,0.2
"P05","1",0.192,0.379,0.447,0.099,0.248
"P05","2",0.056,0.062,0.056,0.084,0.068
"P05","3",0.035,0.089,0.078,0.033,0.038
"P05","4",0.063,0.114,0.078,0.027,0.086
"P05","5",0.166,0.193,0.193,0.121,0.232
"P05","6",0.051,0.027,0.047,0.065,0.043
"P05","7",0.145,0.032,0.014,0.067,0.072
"P05","8",0.077,0.03,0.025,0.14,0.052
"P05","9",0.215,0.074,0.062,0.364,0.161
"P06","1",0.469,0.159,0.205,0.406,0.254
"P06","2",0.054,0.049,0.023,0.06,0.06
"P06","3",0.069,0.031,0.019,0.036,0.045
"P06","4",0.055,0.029,0.049,0.052,0.053
"P06","5",0.169,0.203,0.152,0.27,0.255
"P06","6",0.029,0.055,0.043,0,0.046
"P06","7",0.028,0.1,0.084,0.028,0.077
"P06","8",0.018,0.075,0.092,0.032,0.023
"P06","9",0.109,0.299,0.333,0.116,0.187
"P07","1",0.607,0.245,0.184,0.687,0.361
"P07","2",0.048,0.038,0.035,0.072,0.039
"P07","3",0.035,0.034,0.027,0.005,0.022
"P07","4",0.019,0.018,0.05,0,0.042
"P07","5",0.095,0.135,0.156,0.1,0.12
"P07","6",0.007,0.02,0.034,0,0.029
"P07","7",0.011,0.06,0.037,0.005,0.042
"P07","8",0.016,0.06,0.058,0.014,0.033
"P07","9",0.162,0.39,0.419,0.117,0.312
"P09","Del Frente de Todos y el peronismo",0.821,0.057,0.053,0.277,0.353
"P09","De Cambiemos",0.066,0.823,0.124,0.08,0.247
"P09","De los Liberales libertarios",0.017,0.048,0.696,0.075,0.089
"P09","De la Izquierda",0.014,0.012,0.005,0.499,0.041
"P09","No sabe",0.082,0.06,0.122,0.069,0.27
"P10","A Alberto Fernández",0.185,0.151,0.441,0.198,0.242
"P10","A Sergio Massa",0.258,0.124,0.386,0.048,0.053
"P10","A algún candidato del peronismo",0.092,0.575,0.074,0.244,0.283
"P10","A algún candidato del kirchnerismo",0.465,0.15,0.099,0.51,0.422
"P11","A Alberto Fernández",0.095,0.145,0.44,0.091,0.203
"P11","A Sergio Massa",0.166,0.103,0.063,0.011,0.027
"P11","A algún candidato del peronismo",0.058,0.594,0.398,0.048,0.232
"P11","A Cristina Fernández de Kirchner",0.681,0.158,0.099,0.85,0.538
"P12","A Horacio Rodriguez Larreta",0.291,0.236,0.277,0.657,0.216
"P12","A Mauricio Macri",0.017,0.418,0.199,0,0.234
"P12","A Patricia Bullrich",0.037,0.302,0.499,0.095,0.289
"P12","A Facundo Manes",0.511,0.03,0.021,0.248,0.228
"P12","A Gerardo Morales",0.144,0.014,0.004,0,0.033
"P13","Seguro lo votaria",0.022,0.181,0.361,0,0.16
"P13","Quizás lo votaría",0.017,0.337,0.427,0,0.325
