"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.357,0.389,0.522,0.583,0.405
"P04","Realizo changas o trabajos de vez en cuando",0.208,0.205,0.184,0.131,0.189
"P04","No tengo trabajo",0.136,0.185,0.18,0.16,0.191
"P04","Soy jubilado o pensionado",0.299,0.221,0.114,0.126,0.215
"P05","1",0.374,0.208,0.396,0.076,0.231
"P05","2",0.079,0.063,0.056,0.039,0.043
"P05","3",0.081,0.036,0.094,0,0.053
"P05","4",0.104,0.06,0.066,0.094,0.091
"P05","5",0.193,0.151,0.21,0.129,0.245
"P05","6",0.032,0.036,0.042,0.068,0.049
"P05","7",0.033,0.134,0.032,0.07,0.094
"P05","8",0.023,0.069,0.022,0.186,0.054
"P05","9",0.081,0.243,0.082,0.338,0.14
"P06","1",0.203,0.446,0.166,0.391,0.295
"P06","2",0.064,0.068,0.014,0.07,0.031
"P06","3",0.034,0.053,0.019,0.052,0.054
"P06","4",0.036,0.054,0.033,0.096,0.033
"P06","5",0.204,0.176,0.172,0.276,0.229
"P06","6",0.051,0.026,0.04,0.018,0.055
"P06","7",0.083,0.034,0.112,0.021,0.063
"P06","8",0.057,0.017,0.102,0.026,0.037
"P06","9",0.268,0.126,0.342,0.05,0.203
"P07","1",0.281,0.529,0.193,0.734,0.428
"P07","2",0.039,0.061,0.027,0.065,0.023
"P07","3",0.034,0.031,0.016,0.041,0.028
"P07","4",0.018,0.024,0.042,0,0.026
"P07","5",0.118,0.085,0.171,0.074,0.119
"P07","6",0.025,0.008,0.026,0.012,0.019
"P07","7",0.059,0.015,0.054,0.008,0.033
"P07","8",0.051,0.021,0.059,0.031,0.031
"P07","9",0.375,0.226,0.412,0.035,0.293
"P09","Del Frente de Todos y el peronismo",0.138,0.79,0.054,0.338,0.345
"P09","De Cambiemos",0.704,0.124,0.184,0.034,0.288
"P09","De los Liberales libertarios",0.044,0.015,0.632,0.068,0.064
"P09","De la Izquierda",0.013,0.001,0.025,0.498,0.026
"P09","No sabe",0.101,0.07,0.105,0.062,0.277
"P10","A Alberto Fernández",0.292,0.245,0.33,0.022,0.045
"P10","A Sergio Massa",0.224,0.235,0.314,0.026,0.137
"P10","A algún candidato del peronismo",0.268,0.11,0.161,0.204,0.219
"P10","A algún candidato del kirchnerismo",0.216,0.41,0.195,0.748,0.599
"P11","A Alberto Fernández",0.134,0.18,0.331,0,0.026
"P11","A Sergio Massa",0.139,0.137,0.162,0.027,0.098
"P11","A algún candidato del peronismo",0.274,0.076,0.439,0.073,0.121
"P11","A Cristina Fernández de Kirchner",0.453,0.607,0.068,0.9,0.755
"P12","A Horacio Rodriguez Larreta",0.32,0.296,0.114,0,0.104
"P12","A Mauricio Macri",0.361,0.233,0.339,0.272,0.406
"P12","A Patricia Bullrich",0.23,0.198,0.516,0.093,0.363
"P12","A Facundo Manes",0.064,0.228,0.029,0.635,0.114
"P12","A Gerardo Morales",0.025,0.045,0.002,0,0.013
"P13","Seguro lo votaria",0.164,0.09,0.325,0,0.159
"P13","Quizás lo votaría",0.327,0.106,0.536,0.272,0.305
"P13","Nunca lo votaría",0.509,0.804,0.139,0.728,0.536
