"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.083,0.06,0.104,0.08,0.083,0.056,0.118,0.118,0.071,0.06,0.081,0.086,0.117,0.06,0.059,6
"Buena",0.144,0.124,0.164,0.08,0.165,0.15,0.153,0.179,0.134,0.121,0.161,0.11,0.286,0.044,0.025,6
"Ni buena ni mala",0.173,0.166,0.18,0.163,0.179,0.161,0.188,0.185,0.182,0.146,0.157,0.206,0.302,0.05,0.145,6
"Mala",0.12,0.124,0.115,0.112,0.14,0.101,0.109,0.119,0.114,0.13,0.128,0.103,0.12,0.119,0.13,6
"Muy mala",0.467,0.515,0.422,0.53,0.424,0.529,0.416,0.374,0.494,0.531,0.46,0.483,0.164,0.721,0.628,6
"No sabe",0.013,0.011,0.015,0.035,0.009,0.003,0.016,0.025,0.005,0.012,0.013,0.012,0.011,0.006,0.013,6
"Positiva",0.227,0.184,0.268,0.16,0.248,0.206,0.271,0.297,0.205,0.181,0.242,0.196,0.403,0.104,0.084,4
"Neutra",0.173,0.166,0.18,0.163,0.179,0.161,0.188,0.185,0.182,0.146,0.157,0.206,0.302,0.05,0.145,4
"Negativa",0.587,0.639,0.537,0.642,0.564,0.63,0.525,0.493,0.608,0.661,0.588,0.586,0.284,0.84,0.758,4
"No sabe",0.013,0.011,0.015,0.035,0.009,0.003,0.016,0.025,0.005,0.012,0.013,0.012,0.011,0.006,0.013,4
