"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.417,0.375,0.538,0.568,0.353
"P04","Realizo changas o trabajos de vez en cuando",0.172,0.193,0.165,0.149,0.231
"P04","No tengo trabajo",0.164,0.136,0.166,0.185,0.227
"P04","Soy jubilado o pensionado",0.247,0.296,0.131,0.098,0.189
"P05","1",0.231,0.345,0.407,0.08,0.253
"P05","2",0.046,0.064,0.06,0.052,0.074
"P05","3",0.029,0.083,0.09,0,0.063
"P05","4",0.064,0.121,0.065,0.08,0.087
"P05","5",0.164,0.193,0.22,0.095,0.22
"P05","6",0.052,0.028,0.044,0.051,0.036
"P05","7",0.126,0.052,0.019,0.082,0.069
"P05","8",0.068,0.026,0.023,0.138,0.062
"P05","9",0.22,0.088,0.072,0.422,0.136
"P06","1",0.449,0.158,0.184,0.332,0.286
"P06","2",0.05,0.06,0.017,0.13,0.05
"P06","3",0.063,0.033,0.017,0.02,0.057
"P06","4",0.057,0.038,0.039,0.089,0.03
"P06","5",0.167,0.214,0.17,0.283,0.232
"P06","6",0.042,0.046,0.039,0.037,0.041
"P06","7",0.027,0.092,0.101,0.023,0.063
"P06","8",0.014,0.069,0.099,0.024,0.04
"P06","9",0.131,0.29,0.334,0.062,0.201
"P07","1",0.56,0.252,0.206,0.712,0.391
"P07","2",0.049,0.042,0.029,0.071,0.031
"P07","3",0.033,0.042,0.019,0.005,0.021
"P07","4",0.019,0.02,0.047,0.028,0.022
"P07","5",0.094,0.122,0.163,0.106,0.11
"P07","6",0.01,0.028,0.03,0.021,0.014
"P07","7",0.021,0.056,0.049,0.005,0.029
"P07","8",0.018,0.065,0.045,0.013,0.034
"P07","9",0.196,0.373,0.412,0.039,0.348
"P09","Del Frente de Todos y el peronismo",0.76,0.094,0.044,0.284,0.356
"P09","De Cambiemos",0.116,0.765,0.193,0.069,0.29
"P09","De los Liberales libertarios",0.034,0.041,0.639,0.008,0.074
"P09","De la Izquierda",0.011,0.012,0.009,0.579,0.031
"P09","No sabe",0.079,0.088,0.115,0.06,0.249
"P10","A Alberto Fernández",0.186,0.161,0.486,0.248,0.226
"P10","A Sergio Massa",0.239,0.365,0.359,0.038,0.076
"P10","A algún candidato del peronismo",0.094,0.405,0.074,0.129,0.246
"P10","A algún candidato del kirchnerismo",0.481,0.069,0.081,0.585,0.452
"P11","A Alberto Fernández",0.103,0.12,0.455,0.24,0.142
"P11","A Sergio Massa",0.149,0.281,0.04,0.009,0.06
"P11","A algún candidato del peronismo",0.057,0.365,0.4,0.053,0.227
"P11","A Cristina Fernández de Kirchner",0.691,0.234,0.105,0.698,0.571
"P12","A Horacio Rodriguez Larreta",0.22,0.306,0.145,0.297,0.155
"P12","A Mauricio Macri",0.208,0.359,0.312,0.092,0.411
"P12","A Patricia Bullrich",0.289,0.251,0.508,0,0.303
"P12","A Facundo Manes",0.215,0.063,0.022,0.611,0.126
"P12","A Gerardo Morales",0.068,0.021,0.013,0,0.005
"P13","Seguro lo votaria",0.146,0.16,0.397,0.297,0.111
"P13","Quizás lo votaría",0.221,0.302,0.449,0.037,0.357
"P13","Nunca lo votaría",0.633,0.538,0.154,0.666,0.532
"P14","Lo votaría",0.073,0.46,0.235,0.096,0.183
"P14","Puede que lo vote",0.056,0.293,0.336,0.02,0.153
"P14","Nunca lo votaría",0.812,0.206,0.35,0.783,0.568
"P14","No sabe",0.059,0.041,0.079,0.101,0.096
"P15","Lo votaría",0.293,0.084,0.05,0.087,0.057
"P15","Puede que lo vote",0.411,0.102,0.087,0.227,0.169
"P15","Nunca lo votaría",0.228,0.776,0.808,0.58,0.623
"P15","No sabe",0.068,0.038,0.055,0.106,0.151
"P16","Lo votaría",0.255,0.05,0.031,0.118,0.106
"P16","Puede que lo vote",0.389,0.066,0.023,0.238,0.145
"P16","Nunca lo votaría",0.281,0.859,0.912,0.581,0.619
"P16","No sabe",0.075,0.025,0.034,0.063,0.13
"P17","La votaría",0.72,0.061,0.043,0.381,0.333
"P17","Puede que la vote",0.101,0.035,0.03,0.107,0.066
"P17","Nunca la votaría",0.158,0.901,0.889,0.487,0.524
"P17","No sabe",0.021,0.003,0.038,0.025,0.077
"P18","Lo votaría",0.101,0.437,0.065,0.057,0.089
"P18","Puede que lo vote",0.102,0.359,0.284,0.094,0.233
"P18","Nunca lo votaría",0.775,0.172,0.56,0.785,0.566
"P18","No sabe",0.022,0.032,0.091,0.064,0.112
"P19","Lo votaría",0.066,0.105,0.043,0.035,0.065
"P19","Puede que lo vote",0.217,0.31,0.176,0.216,0.186
"P19","Nunca lo votaría",0.618,0.505,0.667,0.653,0.586
"P19","No sabe",0.099,0.08,0.114,0.096,0.163
"P20","La votaría",0.064,0.464,0.352,0.037,0.193
"P20","Puede que la vote",0.069,0.275,0.307,0.091,0.12
"P20","Nunca la votaría",0.838,0.209,0.283,0.821,0.585
"P20","No sabe",0.029,0.052,0.058,0.051,0.102
"P21","Lo votaría",0.038,0.103,0.625,0.015,0.054
"P21","Puede que lo vote",0.08,0.28,0.285,0.107,0.144
"P21","Nunca lo votaría",0.847,0.564,0.07,0.825,0.673
"P21","No sabe",0.035,0.053,0.02,0.053,0.129
"P22","La votaría",0.05,0.295,0.142,0.037,0.061
"P22","Puede que la vote",0.082,0.346,0.289,0.072,0.213
"P22","Nunca la votaría",0.817,0.267,0.509,0.803,0.637
"P22","No sabe",0.051,0.092,0.06,0.088,0.089
"P23","Lo votaría",0.193,0.03,0.024,0.076,0.083
"P23","Puede que lo vote",0.45,0.092,0.073,0.287,0.195
"P23","Nunca lo votaría",0.314,0.84,0.868,0.573,0.608
"P23","No sabe",0.043,0.038,0.035,0.064,0.114
"P24","Lo votaría",0.027,0.105,0.019,0.038,0.022
"P24","Puede que lo vote",0.139,0.355,0.117,0.056,0.118
"P24","Nunca lo votaría",0.748,0.44,0.765,0.807,0.71
"P24","No sabe",0.086,0.1,0.099,0.099,0.15
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.068,0.497,0.144,0.015,0.154
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.034,0.346,0.049,0.02,0.058
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.076,0.018,0.011,0.046,0.07
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.747,0.076,0.028,0.356,0.333
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.029,0.015,0.711,0.042,0.067
"P25","Nicolás del Caño – Myriam Bregman",0.002,0,0.009,0.484,0.009
"P25","Otros candidatos",0.044,0.048,0.048,0.037,0.309
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.819,0.089,0.037,0.399,0.36
