"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.393,0.413,0.558,0.468,0.32
"P04","Realizo changas o trabajos de vez en cuando",0.202,0.17,0.209,0.247,0.271
"P04","No tengo trabajo",0.193,0.16,0.147,0.165,0.215
"P04","Soy jubilado o pensionado",0.212,0.257,0.086,0.12,0.194
"P05","1",0.229,0.375,0.411,0.105,0.227
"P05","2",0.062,0.075,0.072,0.065,0.067
"P05","3",0.034,0.085,0.102,0,0.038
"P05","4",0.066,0.097,0.066,0.063,0.083
"P05","5",0.155,0.193,0.169,0.075,0.309
"P05","6",0.039,0.026,0.043,0.059,0.044
"P05","7",0.12,0.041,0.028,0.074,0.059
"P05","8",0.067,0.026,0.021,0.095,0.025
"P05","9",0.228,0.082,0.088,0.464,0.148
"P06","1",0.467,0.181,0.179,0.316,0.239
"P06","2",0.059,0.046,0.022,0.119,0.028
"P06","3",0.057,0.038,0.012,0.032,0.024
"P06","4",0.047,0.03,0.027,0.057,0.069
"P06","5",0.152,0.216,0.155,0.268,0.299
"P06","6",0.027,0.045,0.048,0.032,0.034
"P06","7",0.038,0.094,0.101,0.009,0.041
"P06","8",0.025,0.06,0.089,0.043,0.058
"P06","9",0.128,0.29,0.367,0.124,0.208
"P07","1",0.542,0.258,0.181,0.658,0.361
"P07","2",0.044,0.033,0.031,0.025,0.048
"P07","3",0.019,0.038,0.031,0.005,0.018
"P07","4",0.018,0.019,0.053,0.005,0.02
"P07","5",0.076,0.154,0.132,0.101,0.125
"P07","6",0.011,0.022,0.025,0.015,0.021
"P07","7",0.019,0.047,0.052,0.004,0.037
"P07","8",0.022,0.049,0.051,0.023,0.055
"P07","9",0.249,0.38,0.444,0.164,0.315
"P14","Lo votaría",0.061,0.519,0.162,0.104,0.107
"P14","Puede que lo vote",0.055,0.286,0.313,0.029,0.161
"P14","Nunca lo votaría",0.823,0.185,0.426,0.749,0.496
"P14","No sabe",0.061,0.01,0.099,0.118,0.236
"P15","Lo votaría",0.24,0.081,0.053,0.102,0.084
"P15","Puede que lo vote",0.381,0.099,0.074,0.101,0.211
"P15","Nunca lo votaría",0.285,0.781,0.837,0.714,0.439
"P15","No sabe",0.094,0.039,0.036,0.083,0.266
"P16","Lo votaría",0.294,0.037,0.029,0.041,0.113
"P16","Puede que lo vote",0.367,0.051,0.028,0.12,0.094
"P16","Nunca lo votaría",0.245,0.892,0.917,0.779,0.556
"P16","No sabe",0.094,0.02,0.026,0.06,0.237
"P17","La votaría",0.786,0.067,0.015,0.146,0.199
"P17","Puede que la vote",0.101,0.026,0.04,0.09,0.1
"P17","Nunca la votaría",0.092,0.895,0.925,0.702,0.514
"P17","No sabe",0.021,0.012,0.02,0.062,0.187
"P18","Lo votaría",0.105,0.345,0.09,0.14,0.075
"P18","Puede que lo vote",0.072,0.381,0.257,0.127,0.195
"P18","Nunca lo votaría",0.772,0.246,0.595,0.694,0.451
"P18","No sabe",0.051,0.028,0.058,0.039,0.279
"P19","Lo votaría",0.039,0.105,0.052,0.028,0.093
"P19","Puede que lo vote",0.181,0.265,0.208,0.193,0.193
"P19","Nunca lo votaría",0.639,0.574,0.642,0.685,0.399
"P19","No sabe",0.141,0.056,0.098,0.094,0.315
"P20","La votaría",0.049,0.489,0.306,0.13,0.107
"P20","Puede que la vote",0.067,0.246,0.34,0.074,0.125
"P20","Nunca la votaría",0.832,0.223,0.314,0.757,0.538
"P20","No sabe",0.052,0.042,0.04,0.039,0.23
"P21","Lo votaría",0.058,0.113,0.682,0.039,0.123
"P21","Puede que lo vote",0.068,0.316,0.204,0.14,0.141
"P21","Nunca lo votaría",0.82,0.521,0.098,0.769,0.511
"P21","No sabe",0.054,0.05,0.016,0.052,0.225
"P22","La votaría",0.043,0.262,0.131,0.07,0.095
"P22","Puede que la vote",0.062,0.366,0.263,0.095,0.167
"P22","Nunca la votaría",0.825,0.304,0.571,0.768,0.533
"P22","No sabe",0.07,0.068,0.035,0.067,0.205
"P23","Lo votaría",0.182,0.027,0.03,0.091,0.052
"P23","Puede que lo vote",0.43,0.094,0.073,0.148,0.125
"P23","Nunca lo votaría",0.308,0.851,0.871,0.717,0.614
"P23","No sabe",0.08,0.028,0.026,0.044,0.209
"P24","Lo votaría",0.031,0.07,0.021,0.079,0.025
"P24","Puede que lo vote",0.121,0.29,0.12,0.12,0.117
"P24","Nunca lo votaría",0.736,0.566,0.783,0.702,0.563
"P24","No sabe",0.112,0.074,0.076,0.099,0.295
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.039,0.52,0.058,0.056,0.091
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.017,0.238,0.072,0.059,0.117
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.085,0.015,0.02,0.004,0.063
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.807,0.07,0.008,0.156,0.183
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.022,0.05,0.774,0.056,0.163
"P25","Nicolás del Caño – Myriam Bregman",0.004,0.008,0.01,0.397,0.023
"P25","Otros candidatos",0.026,0.099,0.058,0.272,0.36
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.867,0.072,0.015,0.187,0.213
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.048,0.697,0.065,0.066,0.141
"P29","Javier Milei – José Luis Espert por los liberales",0.034,0.063,0.824,0.075,0.177
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.016,0.01,0.005,0.52,0.019
"P29","Otro candidato",0.035,0.158,0.091,0.152,0.45
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.107,0.573,0.063,0.098,0.202
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.597,0.098,0.021,0.007,0.137
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.038,0.135,0.826,0.169,0.191
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.04,0.004,0.015,0.569,0.019
"P31","Otro candidato",0.218,0.19,0.075,0.157,0.451
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.636,0.088,0.024,0.114,0.199
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.063,0.696,0.167,0.119,0.177
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.042,0.067,0.746,0.068,0.175
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.039,0.02,0.004,0.547,0.03
"P33","Otro candidato",0.22,0.129,0.059,0.152,0.419
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.649,0.099,0.053,0.088,0.181
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.071,0.579,0.056,0.082,0.177
"P35","Javier Milei – José Luis Espert por los liberales",0.03,0.134,0.806,0.062,0.213
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.031,0.008,0.002,0.592,0.018
"P35","Otro candidato",0.219,0.18,0.083,0.176,0.411
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.855,0.076,0.028,0.162,0.187
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.065,0.614,0.055,0.068,0.222
"P37","Javier Milei – José Luis Espert por los liberales",0.019,0.147,0.823,0.066,0.211
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.006,0.004,0.004,0.467,0.013
"P37","Otro candidato",0.055,0.159,0.09,0.237,0.367
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.693,0.054,0.027,0.115,0.196
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.051,0.73,0.08,0.108,0.153
"P38","Javier Milei – José Luis Espert por los liberales",0.032,0.074,0.787,0.028,0.211
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.032,0.009,0.016,0.535,0.022
"P38","Otro candidato",0.192,0.133,0.09,0.214,0.418
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.87,0.102,0.042,0.308,0.19
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.082,0.757,0.463,0.112,0.21
"P39","No sabe",0.048,0.141,0.495,0.58,0.6
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.713,0.077,0.039,0.25,0.155
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.06,0.712,0.406,0.093,0.304
"P40","No sabe",0.227,0.211,0.555,0.657,0.541
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.725,0.071,0.037,0.382,0.206
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.052,0.794,0.593,0.089,0.27
"P41","No sabe",0.223,0.135,0.37,0.529,0.524
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.864,0.061,0.032,0.339,0.21
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.06,0.756,0.459,0.096,0.32
"P42","No sabe",0.076,0.183,0.509,0.565,0.47
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.737,0.062,0.018,0.326,0.222
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.059,0.744,0.427,0.076,0.303
"P43","No sabe",0.204,0.194,0.555,0.598,0.475
"P44","Mauricio Macri – María Eugenia Vidal",0.107,0.704,0.427,0.132,0.257
"P44","Sergio Massa – Wado de Pedro",0.682,0.154,0.097,0.306,0.225
"P44","No sabe",0.211,0.142,0.476,0.562,0.518
"P45","Sergio Massa – Wado de Pedro",0.706,0.114,0.045,0.301,0.212
"P45","Javier Milei – José Luis Espert",0.1,0.424,0.807,0.14,0.309
"P45","No sabe",0.194,0.462,0.148,0.559,0.479
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.161,0.563,0.065,0.243,0.278
"P46","Javier Milei – José Luis Espert",0.05,0.229,0.827,0.08,0.279
"P46","No sabe",0.789,0.208,0.108,0.677,0.443
"P47","Muy buena",0.158,0.055,0.032,0.03,0.037
"P47","Buena",0.324,0.038,0.054,0.049,0.109
"P47","Ni buena ni mala",0.327,0.05,0.062,0.307,0.232
"P47","Mala",0.125,0.1,0.09,0.291,0.159
"P47","Muy mala",0.06,0.745,0.76,0.308,0.407
"P47","No sabe",0.006,0.012,0.002,0.015,0.056
"P48","Muy buena",0.184,0.012,0.032,0.048,0.07
"P48","Buena",0.369,0.028,0.005,0.115,0.066
"P48","Ni buena ni mala",0.248,0.041,0.039,0.204,0.19
"P48","Mala",0.122,0.092,0.105,0.2,0.183
"P48","Muy mala",0.075,0.815,0.814,0.433,0.424
"P48","No sabe",0.002,0.012,0.005,0,0.067
"P49","Muy buena",0.677,0.036,0.012,0.176,0.128
"P49","Buena",0.179,0.015,0.014,0.067,0.078
"P49","Ni buena ni mala",0.057,0.021,0.063,0.097,0.095
"P49","Mala",0.022,0.044,0.04,0.23,0.12
"P49","Muy mala",0.064,0.878,0.869,0.422,0.529
"P49","No sabe",0.001,0.006,0.002,0.008,0.05
"P50","Muy buena",0.074,0.322,0.1,0.011,0.025
"P50","Buena",0.046,0.275,0.191,0.034,0.117
"P50","Ni buena ni mala",0.042,0.183,0.285,0.07,0.202
"P50","Mala",0.189,0.039,0.172,0.167,0.288
"P50","Muy mala",0.647,0.176,0.252,0.698,0.33
"P50","No sabe",0.002,0.005,0,0.02,0.038
"P51","Muy buena",0.038,0.3,0.092,0.016,0.073
"P51","Buena",0.053,0.367,0.184,0.092,0.191
"P51","Ni buena ni mala",0.121,0.217,0.283,0.037,0.297
"P51","Mala",0.201,0.05,0.161,0.314,0.173
"P51","Muy mala",0.565,0.064,0.278,0.537,0.178
"P51","No sabe",0.022,0.002,0.002,0.004,0.088
"P52","Muy buena",0.184,0.045,0.028,0,0.032
"P52","Buena",0.311,0.06,0.046,0.091,0.167
"P52","Ni buena ni mala",0.288,0.13,0.117,0.222,0.276
"P52","Mala",0.105,0.148,0.161,0.308,0.127
"P52","Muy mala",0.103,0.612,0.648,0.375,0.335
"P52","No sabe",0.009,0.005,0,0.004,0.063
"P53","Muy buena",0.049,0.52,0.315,0.063,0.087
"P53","Buena",0.058,0.213,0.226,0.018,0.173
"P53","Ni buena ni mala",0.107,0.121,0.183,0.168,0.19
"P53","Mala",0.133,0.047,0.109,0.177,0.177
"P53","Muy mala",0.635,0.098,0.164,0.574,0.3
"P53","No sabe",0.018,0.001,0.003,0,0.073
"P54","Muy buena",0.042,0.114,0.553,0.007,0.1
"P54","Buena",0.039,0.176,0.212,0.029,0.127
"P54","Ni buena ni mala",0.127,0.414,0.161,0.105,0.264
"P54","Mala",0.142,0.155,0.035,0.157,0.164
"P54","Muy mala",0.635,0.133,0.038,0.675,0.285
"P54","No sabe",0.015,0.008,0.001,0.027,0.06
"P55","Muy buena",0.033,0.303,0.185,0.018,0.103
"P55","Buena",0.04,0.325,0.209,0.148,0.159
"P55","Ni buena ni mala",0.089,0.234,0.202,0.072,0.232
"P55","Mala",0.154,0.056,0.157,0.301,0.207
"P55","Muy mala",0.664,0.075,0.235,0.434,0.229
"P55","No sabe",0.02,0.007,0.012,0.027,0.07
"P56","Muy buena",0.189,0.025,0.038,0.013,0.07
"P56","Buena",0.37,0.05,0.045,0.048,0.111
"P56","Ni buena ni mala",0.256,0.106,0.086,0.195,0.261
"P56","Mala",0.077,0.212,0.124,0.307,0.248
"P56","Muy mala",0.09,0.599,0.705,0.41,0.278
"P56","No sabe",0.018,0.008,0.002,0.027,0.032
"P57","Muy buena",0.053,0.065,0.047,0.06,0.105
"P57","Buena",0.141,0.123,0.124,0.144,0.174
"P57","Ni buena ni mala",0.39,0.294,0.278,0.207,0.393
"P57","Mala",0.164,0.21,0.168,0.297,0.176
"P57","Muy mala",0.18,0.287,0.334,0.292,0.08
"P57","No sabe",0.072,0.021,0.049,0,0.072
"P58","Muy buena",0.02,0.086,0.028,0.009,0.037
"P58","Buena",0.048,0.21,0.101,0.136,0.111
"P58","Ni buena ni mala",0.259,0.409,0.398,0.191,0.45
"P58","Mala",0.164,0.129,0.109,0.177,0.159
"P58","Muy mala",0.445,0.112,0.284,0.437,0.119
"P58","No sabe",0.064,0.054,0.08,0.05,0.124
"P59","Siempre",0.332,0.309,0.256,0.324,0.299
"P59","Casi siempre",0.402,0.421,0.354,0.264,0.404
"P59","Casi nunca",0.149,0.19,0.282,0.319,0.161
"P59","Nunca, pero esta es una excepción",0.117,0.08,0.108,0.093,0.136
"P60","Si",0.6,0.562,0.492,0.499,0.505
"P60","No",0.4,0.438,0.508,0.501,0.495
