"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.444,0.383,0.485,0.45,0.466
"P04","Realizo changas o trabajos de vez en cuando",0.19,0.214,0.123,0.183,0.204
"P04","No tengo trabajo",0.188,0.156,0.155,0.16,0.078
"P04","Soy jubilado o pensionado",0.178,0.247,0.237,0.207,0.252
"P05","1",0.32,0.427,0.409,0.204,0.372
"P05","2",0.073,0.089,0.075,0.062,0.033
"P05","3",0.096,0.109,0.071,0.014,0.03
"P05","4",0.071,0.091,0.099,0.127,0.127
"P05","5",0.206,0.152,0.225,0.288,0.115
"P05","6",0.029,0.017,0.024,0.047,0.051
"P05","7",0.056,0.026,0.016,0.162,0.059
"P05","8",0.033,0.008,0.042,0.02,0.074
"P05","9",0.116,0.081,0.039,0.076,0.139
"P06","1",0.172,0.222,0.112,0.218,0.159
"P06","2",0.047,0.038,0.045,0.07,0.04
"P06","3",0.073,0.023,0.038,0.03,0.013
"P06","4",0.03,0.016,0.027,0.115,0.028
"P06","5",0.271,0.178,0.197,0.258,0.392
"P06","6",0.063,0.034,0.044,0.022,0.088
"P06","7",0.049,0.094,0.144,0.095,0.084
"P06","8",0.028,0.07,0.074,0.046,0.03
"P06","9",0.267,0.325,0.319,0.146,0.166
"P07","1",0.35,0.202,0.174,0.437,0.276
"P07","2",0.023,0.044,0.032,0.011,0.026
"P07","3",0.063,0.013,0.048,0.055,0
"P07","4",0.01,0.018,0.022,0.044,0.028
"P07","5",0.098,0.163,0.196,0.152,0.202
"P07","6",0.027,0.011,0.033,0.017,0.009
"P07","7",0.063,0.037,0.048,0.034,0.142
"P07","8",0.025,0.054,0.058,0.071,0
"P07","9",0.341,0.458,0.389,0.179,0.317
"P13","Seguro lo votaria",0.259,0.164,0.176,0.062,0.062
"P13","Quizás lo votaría",0.281,0.416,0.357,0.246,0.172
"P13","Nunca lo votaría",0.46,0.42,0.467,0.692,0.766
"P14","Lo votaría",0.317,0.764,0.542,0.051,0.13
"P14","Puede que lo vote",0.436,0.149,0.347,0.224,0.344
"P14","Nunca lo votaría",0.231,0.086,0.104,0.708,0.486
"P14","No sabe",0.016,0.001,0.007,0.017,0.04
"P15","Lo votaría",0.071,0.1,0.046,0.147,0.039
"P15","Puede que lo vote",0.144,0.06,0.053,0.272,0.345
"P15","Nunca lo votaría",0.736,0.782,0.896,0.535,0.576
"P15","No sabe",0.049,0.058,0.005,0.046,0.04
"P16","Lo votaría",0.08,0.02,0.004,0.077,0.064
"P16","Puede que lo vote",0.028,0.023,0.008,0.328,0.369
"P16","Nunca lo votaría",0.841,0.945,0.983,0.565,0.567
"P16","No sabe",0.051,0.012,0.005,0.03,0
"P17","La votaría",0.11,0.019,0.02,0.278,0.266
"P17","Puede que la vote",0.015,0.028,0.005,0.091,0.135
"P17","Nunca la votaría",0.855,0.943,0.975,0.608,0.506
"P17","No sabe",0.02,0.01,0,0.023,0.093
"P18","Lo votaría",0.651,0.249,0.211,0.163,0.333
"P18","Puede que lo vote",0.191,0.413,0.534,0.374,0.425
"P18","Nunca lo votaría",0.138,0.307,0.239,0.413,0.149
"P18","No sabe",0.02,0.031,0.016,0.05,0.093
"P19","Lo votaría",0.109,0.062,0.066,0.421,0.151
"P19","Puede que lo vote",0.329,0.205,0.256,0.349,0.412
"P19","Nunca lo votaría",0.484,0.651,0.659,0.225,0.404
"P19","No sabe",0.078,0.082,0.019,0.005,0.033
"P20","La votaría",0.19,0.519,0.844,0.096,0.094
"P20","Puede que la vote",0.345,0.258,0.082,0.35,0.486
"P20","Nunca la votaría",0.401,0.157,0.071,0.551,0.407
"P20","No sabe",0.064,0.066,0.003,0.003,0.013
