"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.404,0.437,0.446
"P04","Realizo changas o trabajos de vez en cuando",0.21,0.165,0.186
"P04","No tengo trabajo",0.169,0.144,0.176
"P04","Soy jubilado o pensionado",0.217,0.254,0.192
"P05","1",0.211,0.377,0.304
"P05","2",0.05,0.074,0.054
"P05","3",0.029,0.092,0.055
"P05","4",0.064,0.106,0.079
"P05","5",0.14,0.201,0.216
"P05","6",0.043,0.035,0.052
"P05","7",0.142,0.027,0.048
"P05","8",0.076,0.018,0.066
"P05","9",0.245,0.07,0.126
"P06","1",0.465,0.146,0.271
"P06","2",0.072,0.043,0.022
"P06","3",0.065,0.027,0.038
"P06","4",0.056,0.038,0.046
"P06","5",0.157,0.216,0.206
"P06","6",0.031,0.055,0.039
"P06","7",0.031,0.1,0.074
"P06","8",0.01,0.085,0.053
"P06","9",0.113,0.29,0.251
"P07","1",0.59,0.223,0.347
"P07","2",0.065,0.034,0.028
"P07","3",0.032,0.037,0.017
"P07","4",0.021,0.02,0.035
"P07","5",0.074,0.159,0.136
"P07","6",0.014,0.028,0.017
"P07","7",0.019,0.057,0.029
"P07","8",0.009,0.061,0.045
"P07","9",0.176,0.381,0.346
"P09","Del Frente de Todos y el peronismo",0.807,0.055,0.235
"P09","De Cambiemos",0.087,0.654,0.22
"P09","De los Liberales libertarios",0.023,0.194,0.3
"P09","De la Izquierda",0.027,0.008,0.065
"P09","No sabe",0.056,0.089,0.18
"P10","A Alberto Fernández",0.231,0.068,0.157
"P10","A Sergio Massa",0.212,0.212,0.198
"P10","A algún candidato del peronismo",0.092,0.603,0.237
"P10","A algún candidato del kirchnerismo",0.465,0.117,0.408
"P11","A Alberto Fernández",0.15,0.065,0.088
"P11","A Sergio Massa",0.13,0.212,0.102
"P11","A algún candidato del peronismo",0.06,0.572,0.219
"P11","A Cristina Fernández de Kirchner",0.66,0.151,0.591
"P12","A Horacio Rodriguez Larreta",0.303,0.266,0.159
"P12","A Mauricio Macri",0.107,0.355,0.419
"P12","A Patricia Bullrich",0.046,0.32,0.331
"P12","A Facundo Manes",0.439,0.044,0.076
"P12","A Gerardo Morales",0.105,0.015,0.015
"P13","Seguro lo votaria",0.146,0.176,0.21
"P13","Quizás lo votaría",0.049,0.33,0.398
"P13","Nunca lo votaría",0.805,0.494,0.392
"P14","Lo votaría",0.044,0.467,0.145
"P14","Puede que lo vote",0.04,0.315,0.202
"P14","Nunca lo votaría",0.86,0.183,0.551
"P14","No sabe",0.056,0.035,0.102
"P15","Lo votaría",0.279,0.071,0.062
"P15","Puede que lo vote",0.421,0.081,0.143
"P15","Nunca lo votaría",0.206,0.809,0.711
"P15","No sabe",0.094,0.039,0.084
"P16","Lo votaría",0.356,0.016,0.035
"P16","Puede que lo vote",0.442,0.013,0.104
"P16","Nunca lo votaría",0.134,0.953,0.771
"P16","No sabe",0.068,0.018,0.09
"P17","La votaría",0.784,0.022,0.209
"P17","Puede que la vote",0.126,0.006,0.064
"P17","Nunca la votaría",0.067,0.97,0.669
"P17","No sabe",0.023,0.002,0.058
"P18","Lo votaría",0.094,0.334,0.057
"P18","Puede que lo vote",0.065,0.428,0.191
"P18","Nunca lo votaría",0.814,0.197,0.662
"P18","No sabe",0.027,0.041,0.09
"P19","Lo votaría",0.035,0.104,0.039
"P19","Puede que lo vote",0.201,0.299,0.168
"P19","Nunca lo votaría",0.646,0.517,0.665
"P19","No sabe",0.118,0.08,0.128
"P20","La votaría",0.027,0.505,0.207
"P20","Puede que la vote",0.087,0.279,0.176
"P20","Nunca la votaría",0.857,0.185,0.532
"P20","No sabe",0.029,0.031,0.085
"P21","Lo votaría",0.025,0.238,0.281
"P21","Puede que lo vote",0.068,0.32,0.178
"P21","Nunca lo votaría",0.864,0.405,0.479
"P21","No sabe",0.043,0.037,0.062
"P22","La votaría",0.017,0.283,0.091
"P22","Puede que la vote",0.06,0.408,0.157
"P22","Nunca la votaría",0.872,0.251,0.645
"P22","No sabe",0.051,0.058,0.107
"P23","Lo votaría",0.221,0.038,0.026
"P23","Puede que lo vote",0.456,0.084,0.157
"P23","Nunca lo votaría",0.266,0.851,0.739
"P23","No sabe",0.057,0.027,0.078
"P24","Lo votaría",0.037,0.083,0.009
"P24","Puede que lo vote",0.131,0.294,0.089
"P24","Nunca lo votaría",0.734,0.542,0.777
"P24","No sabe",0.098,0.081,0.125
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.017,0.441,0.133
