"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.417,0.432,0.402,0.352,0.351,0.503,0.489,0.384,0.426,0.439,0.413,0.426,0.161,0.705,0.346
"Patricia Bullrich","Neutra",0.137,0.135,0.138,0.212,0.153,0.088,0.108,0.126,0.159,0.115,0.149,0.111,0.097,0.128,0.187
"Patricia Bullrich","Negativa",0.431,0.426,0.438,0.395,0.482,0.404,0.396,0.459,0.407,0.44,0.426,0.443,0.723,0.163,0.458
"Patricia Bullrich","No sabe",0.015,0.007,0.022,0.041,0.014,0.005,0.007,0.031,0.008,0.006,0.012,0.02,0.019,0.004,0.009
"Maria Eugenia Vidal","Positiva",0.345,0.347,0.343,0.259,0.316,0.391,0.416,0.33,0.343,0.366,0.337,0.361,0.093,0.618,0.301
"Maria Eugenia Vidal","Neutra",0.174,0.177,0.172,0.204,0.165,0.177,0.166,0.162,0.207,0.138,0.186,0.152,0.099,0.225,0.301
"Maria Eugenia Vidal","Negativa",0.461,0.465,0.457,0.482,0.506,0.425,0.398,0.463,0.438,0.492,0.461,0.46,0.784,0.155,0.398
"Maria Eugenia Vidal","No sabe",0.02,0.011,0.028,0.055,0.013,0.007,0.02,0.045,0.012,0.004,0.016,0.027,0.024,0.002,0
"Horacio Rodriguez Larreta","Positiva",0.342,0.323,0.361,0.29,0.285,0.378,0.458,0.322,0.337,0.374,0.345,0.339,0.111,0.621,0.306
"Horacio Rodriguez Larreta","Neutra",0.199,0.203,0.195,0.174,0.221,0.213,0.156,0.213,0.214,0.161,0.206,0.185,0.142,0.206,0.239
"Horacio Rodriguez Larreta","Negativa",0.441,0.465,0.417,0.481,0.483,0.401,0.373,0.428,0.438,0.459,0.437,0.448,0.721,0.17,0.455
"Horacio Rodriguez Larreta","No sabe",0.018,0.009,0.027,0.055,0.011,0.008,0.013,0.037,0.011,0.006,0.012,0.028,0.026,0.003,0
"CFK","Positiva",0.337,0.294,0.378,0.298,0.359,0.326,0.342,0.406,0.301,0.318,0.348,0.317,0.729,0.057,0.134
"CFK","Neutra",0.051,0.049,0.054,0.071,0.051,0.036,0.055,0.045,0.069,0.031,0.048,0.057,0.081,0.02,0.039
"CFK","Negativa",0.604,0.65,0.558,0.604,0.585,0.637,0.594,0.533,0.624,0.648,0.597,0.616,0.188,0.92,0.827
"CFK","No sabe",0.008,0.007,0.01,0.027,0.005,0.001,0.009,0.016,0.006,0.003,0.007,0.01,0.002,0.003,0
"Mauricio Macri","Positiva",0.315,0.313,0.318,0.282,0.252,0.362,0.412,0.281,0.313,0.357,0.298,0.347,0.127,0.609,0.187
"Mauricio Macri","Neutra",0.153,0.158,0.148,0.21,0.151,0.137,0.128,0.122,0.179,0.148,0.163,0.133,0.07,0.18,0.222
"Mauricio Macri","Negativa",0.525,0.529,0.52,0.494,0.592,0.496,0.45,0.586,0.502,0.491,0.533,0.509,0.798,0.209,0.591
"Mauricio Macri","No sabe",0.007,0,0.014,0.014,0.005,0.005,0.01,0.011,0.006,0.004,0.006,0.011,0.005,0.002,0
"Javier Milei","Positiva",0.291,0.37,0.216,0.333,0.332,0.286,0.18,0.31,0.293,0.27,0.261,0.351,0.115,0.4,0.317
"Javier Milei","Neutra",0.245,0.22,0.27,0.228,0.216,0.252,0.313,0.242,0.274,0.205,0.273,0.191,0.144,0.356,0.202
"Javier Milei","Negativa",0.448,0.404,0.489,0.411,0.44,0.454,0.484,0.421,0.419,0.52,0.454,0.435,0.725,0.236,0.466
"Javier Milei","No sabe",0.016,0.006,0.025,0.028,0.012,0.008,0.023,0.027,0.014,0.005,0.012,0.023,0.016,0.008,0.015
"Daniel Scioli","Positiva",0.249,0.246,0.252,0.147,0.234,0.274,0.332,0.335,0.208,0.215,0.247,0.252,0.459,0.099,0.132
"Daniel Scioli","Neutra",0.172,0.151,0.192,0.18,0.188,0.16,0.148,0.165,0.192,0.149,0.182,0.151,0.262,0.097,0.138
"Daniel Scioli","Negativa",0.566,0.595,0.537,0.631,0.57,0.561,0.507,0.478,0.587,0.631,0.558,0.582,0.263,0.802,0.73
"Daniel Scioli","No sabe",0.013,0.008,0.019,0.042,0.008,0.005,0.013,0.022,0.013,0.005,0.013,0.015,0.016,0.002,0
"Sergio Massa","Positiva",0.238,0.223,0.253,0.178,0.22,0.249,0.313,0.28,0.228,0.208,0.248,0.221,0.427,0.105,0.165
"Sergio Massa","Neutra",0.199,0.165,0.232,0.182,0.219,0.197,0.175,0.224,0.194,0.179,0.203,0.192,0.292,0.108,0.185
"Sergio Massa","Negativa",0.551,0.606,0.498,0.599,0.557,0.55,0.5,0.468,0.575,0.607,0.541,0.57,0.272,0.782,0.637
"Sergio Massa","No sabe",0.012,0.006,0.017,0.041,0.004,0.004,0.012,0.028,0.003,0.006,0.008,0.017,0.009,0.005,0.013
"Alberto Fernandez","Positiva",0.224,0.189,0.259,0.233,0.225,0.208,0.241,0.304,0.199,0.174,0.233,0.208,0.466,0.041,0.117
"Alberto Fernandez","Neutra",0.131,0.112,0.149,0.078,0.152,0.116,0.152,0.121,0.143,0.123,0.132,0.128,0.221,0.051,0.106
