"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.406,0.439,0.471
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.175,0.175
"P04","No tengo trabajo",0.167,0.144,0.175
"P04","Soy jubilado o pensionado",0.231,0.242,0.179
"P05","1",0.2,0.38,0.339
"P05","2",0.055,0.075,0.037
"P05","3",0.037,0.085,0.057
"P05","4",0.05,0.11,0.092
"P05","5",0.144,0.194,0.231
"P05","6",0.049,0.036,0.049
"P05","7",0.143,0.025,0.031
"P05","8",0.082,0.019,0.045
"P05","9",0.24,0.076,0.119
"P06","1",0.49,0.132,0.231
"P06","2",0.048,0.051,0.023
"P06","3",0.069,0.029,0.022
"P06","4",0.056,0.037,0.047
"P06","5",0.157,0.222,0.204
"P06","6",0.031,0.057,0.04
"P06","7",0.028,0.099,0.092
"P06","8",0.012,0.085,0.057
"P06","9",0.109,0.288,0.284
"P07","1",0.614,0.209,0.287
"P07","2",0.048,0.049,0.021
"P07","3",0.029,0.036,0.019
"P07","4",0.017,0.022,0.038
"P07","5",0.084,0.158,0.137
"P07","6",0.008,0.031,0.024
"P07","7",0.012,0.056,0.042
"P07","8",0.014,0.058,0.044
"P07","9",0.174,0.381,0.388
"P09","Del Frente de Todos y el peronismo",0.83,0.052,0.104
"P09","De Cambiemos",0.058,0.648,0.252
"P09","De los Liberales libertarios",0.016,0.204,0.361
"P09","De la Izquierda",0.031,0.008,0.075
"P09","No sabe",0.065,0.088,0.208
"P10","A Alberto Fernández",0.175,0.3,0.497
"P10","A Sergio Massa",0.214,0.194,0.201
"P10","A algún candidato del peronismo",0.119,0.44,0.219
"P10","A algún candidato del kirchnerismo",0.492,0.066,0.083
"P11","A Alberto Fernández",0.102,0.298,0.35
"P11","A Sergio Massa",0.131,0.193,0.039
"P11","A algún candidato del peronismo",0.081,0.467,0.355
"P11","A Cristina Fernández de Kirchner",0.686,0.042,0.256
"P12","A Horacio Rodriguez Larreta",0.337,0.281,0.087
"P12","A Mauricio Macri",0.093,0.339,0.408
"P12","A Patricia Bullrich",0,0.322,0.403
"P12","A Facundo Manes",0.453,0.045,0.086
"P12","A Gerardo Morales",0.117,0.013,0.016
"P13","Seguro lo votaria",0.162,0.191,0.194
"P13","Quizás lo votaría",0.048,0.323,0.436
"P13","Nunca lo votaría",0.79,0.486,0.37
"P14","Lo votaría",0.031,0.449,0.185
"P14","Puede que lo vote",0.039,0.326,0.217
"P14","Nunca lo votaría",0.873,0.189,0.489
"P14","No sabe",0.057,0.036,0.109
"P15","Lo votaría",0.26,0.063,0.061
"P15","Puede que lo vote",0.415,0.084,0.087
"P15","Nunca lo votaría",0.236,0.818,0.761
"P15","No sabe",0.089,0.035,0.091
"P16","Lo votaría",0.273,0.027,0.074
"P16","Puede que lo vote",0.438,0.012,0.041
"P16","Nunca lo votaría",0.185,0.944,0.832
"P16","No sabe",0.104,0.017,0.053
"P17","La votaría",0.809,0.015,0.078
"P17","Puede que la vote",0.122,0.011,0.049
"P17","Nunca la votaría",0.04,0.972,0.808
"P17","No sabe",0.029,0.002,0.065
"P18","Lo votaría",0.071,0.322,0.075
"P18","Puede que lo vote",0.061,0.418,0.209
"P18","Nunca lo votaría",0.823,0.224,0.626
"P18","No sabe",0.045,0.036,0.09
"P19","Lo votaría",0.03,0.091,0.055
"P19","Puede que lo vote",0.18,0.3,0.174
"P19","Nunca lo votaría",0.653,0.538,0.652
"P19","No sabe",0.137,0.071,0.119
"P20","La votaría",0.014,0.497,0.259
"P20","Puede que la vote",0.042,0.282,0.235
"P20","Nunca la votaría",0.899,0.192,0.427
"P20","No sabe",0.045,0.029,0.079
"P21","Lo votaría",0.021,0.243,0.338
"P21","Puede que lo vote",0.041,0.326,0.227
"P21","Nunca lo votaría",0.889,0.394,0.37
"P21","No sabe",0.049,0.037,0.065
