"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P04","Tengo trabajo estable",0.395,0.44,0.455
"P04","Realizo changas o trabajos de vez en cuando",0.204,0.172,0.194
"P04","No tengo trabajo",0.177,0.137,0.186
"P04","Soy jubilado o pensionado",0.224,0.251,0.165
"P05","1",0.209,0.386,0.322
"P05","2",0.053,0.082,0.034
"P05","3",0.03,0.087,0.061
"P05","4",0.058,0.114,0.078
"P05","5",0.158,0.183,0.245
"P05","6",0.048,0.031,0.055
"P05","7",0.141,0.027,0.026
"P05","8",0.079,0.024,0.053
"P05","9",0.224,0.066,0.126
"P06","1",0.457,0.14,0.242
"P06","2",0.066,0.048,0.024
"P06","3",0.071,0.029,0.021
"P06","4",0.064,0.038,0.03
"P06","5",0.155,0.185,0.262
"P06","6",0.029,0.053,0.045
"P06","7",0.03,0.11,0.068
"P06","8",0.016,0.083,0.055
"P06","9",0.112,0.314,0.253
"P07","1",0.587,0.231,0.284
"P07","2",0.056,0.04,0.019
"P07","3",0.028,0.034,0.019
"P07","4",0.028,0.028,0.023
"P07","5",0.086,0.15,0.141
"P07","6",0.011,0.022,0.033
"P07","7",0.015,0.053,0.036
"P07","8",0.019,0.056,0.051
"P07","9",0.17,0.386,0.394
"P09","Del Frente de Todos y el peronismo",0.798,0.07,0.068
"P09","De Cambiemos",0.095,0.652,0.199
"P09","De los Liberales libertarios",0.02,0.208,0.365
"P09","De la Izquierda",0.028,0.01,0.083
"P09","No sabe",0.059,0.06,0.285
"P10","A Alberto Fernández",0.203,0.15,0.285
"P10","A Sergio Massa",0.201,0.221,0.34
"P10","A algún candidato del peronismo",0.123,0.456,0.263
"P10","A algún candidato del kirchnerismo",0.473,0.173,0.112
"P11","A Alberto Fernández",0.129,0.147,0.152
"P11","A Sergio Massa",0.127,0.148,0.121
"P11","A algún candidato del peronismo",0.075,0.466,0.516
"P11","A Cristina Fernández de Kirchner",0.669,0.239,0.211
"P12","A Horacio Rodriguez Larreta",0.333,0.222,0.304
"P12","A Mauricio Macri",0.153,0.41,0.177
"P12","A Patricia Bullrich",0.066,0.331,0.302
"P12","A Facundo Manes",0.369,0.026,0.181
"P12","A Gerardo Morales",0.079,0.011,0.036
"P13","Seguro lo votaria",0.168,0.181,0.181
"P13","Quizás lo votaría",0.092,0.363,0.27
"P13","Nunca lo votaría",0.74,0.456,0.549
"P14","Lo votaría",0.05,0.515,0.061
"P14","Puede que lo vote",0.043,0.307,0.238
"P14","Nunca lo votaría",0.846,0.137,0.586
"P14","No sabe",0.061,0.041,0.115
"P15","Lo votaría",0.244,0.075,0.057
"P15","Puede que lo vote",0.409,0.074,0.093
"P15","Nunca lo votaría",0.263,0.817,0.731
"P15","No sabe",0.084,0.034,0.119
"P16","Lo votaría",0.268,0.027,0.051
"P16","Puede que lo vote",0.413,0.019,0.049
"P16","Nunca lo votaría",0.226,0.939,0.82
"P16","No sabe",0.093,0.015,0.08
"P17","La votaría",0.79,0.029,0.046
"P17","Puede que la vote",0.112,0.009,0.066
"P17","Nunca la votaría",0.075,0.959,0.819
"P17","No sabe",0.023,0.003,0.069
"P18","Lo votaría",0.09,0.293,0.101
"P18","Puede que lo vote",0.076,0.41,0.209
"P18","Nunca lo votaría",0.798,0.264,0.566
"P18","No sabe",0.036,0.033,0.124
"P19","Lo votaría",0.038,0.074,0.083
"P19","Puede que lo vote",0.191,0.259,0.216
"P19","Nunca lo votaría",0.645,0.598,0.549
"P19","No sabe",0.126,0.069,0.152
"P20","La votaría",0.022,0.542,0.174
"P20","Puede que la vote",0.062,0.277,0.231
"P20","Nunca la votaría",0.874,0.152,0.491
"P20","No sabe",0.042,0.029,0.104
"P21","Lo votaría",0.035,0.241,0.341
"P21","Puede que lo vote",0.051,0.331,0.197
"P21","Nunca lo votaría",0.874,0.394,0.381
"P21","No sabe",0.04,0.034,0.081
"P22","La votaría",0.013,0.277,0.1
"P22","Puede que la vote",0.056,0.41,0.178
"P22","Nunca la votaría",0.863,0.26,0.618
"P22","No sabe",0.068,0.053,0.104
"P23","Lo votaría",0.176,0.041,0.031
"P23","Puede que lo vote",0.435,0.076,0.118
"P23","Nunca lo votaría",0.312,0.86,0.782
"P23","No sabe",0.077,0.023,0.069
"P24","Lo votaría",0.024,0.069,0.036
"P24","Puede que lo vote",0.114,0.257,0.146
"P24","Nunca lo votaría",0.759,0.602,0.681
"P24","No sabe",0.103,0.072,0.137
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.028,0.502,0.027
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.016,0.194,0.16
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.085,0.005,0.055
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.822,0.03,0.038
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.017,0.191,0.426
"P25","Nicolás del Caño – Myriam Bregman",0.013,0.006,0.062
"P25","Otros candidatos",0.019,0.072,0.232
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.893,0.034,0.071
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.041,0.659,0.052
"P29","Javier Milei – José Luis Espert por los liberales",0.022,0.208,0.461
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.018,0.006,0.075
"P29","Otro candidato",0.026,0.093,0.341
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.118,0.495,0.147
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.574,0.078,0.073
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.042,0.27,0.454
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.055,0.008,0.066
"P31","Otro candidato",0.211,0.149,0.26
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.653,0.069,0.053
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.055,0.676,0.145
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.035,0.177,0.421
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.053,0.008,0.082
"P33","Otro candidato",0.204,0.07,0.299
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.643,0.095,0.066
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.078,0.493,0.146
"P35","Javier Milei – José Luis Espert por los liberales",0.03,0.279,0.443
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.051,0.001,0.075
"P35","Otro candidato",0.198,0.132,0.27
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.87,0.05,0.05
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.056,0.525,0.162
"P37","Javier Milei – José Luis Espert por los liberales",0.018,0.288,0.455
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.005,0.063
"P37","Otro candidato",0.044,0.132,0.27
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.692,0.043,0.058
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.046,0.678,0.072
"P38","Javier Milei – José Luis Espert por los liberales",0.03,0.209,0.464
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.04,0.003,0.077
"P38","Otro candidato",0.192,0.067,0.329
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.735,0.024,0.079
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.043,0.788,0.196
"P40","No sabe",0.222,0.188,0.725
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.754,0.042,0.074
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.033,0.881,0.278
"P41","No sabe",0.213,0.077,0.648
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.898,0.026,0.06
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.052,0.798,0.267
"P42","No sabe",0.05,0.176,0.673
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.758,0.035,0.083
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.055,0.782,0.237
"P43","No sabe",0.187,0.183,0.68
"P44","Mauricio Macri – María Eugenia Vidal",0.111,0.785,0.138
"P44","Sergio Massa – Wado de Pedro",0.692,0.14,0.123
"P44","No sabe",0.197,0.075,0.739
"P45","Sergio Massa – Wado de Pedro",0.709,0.111,0.081
"P45","Javier Milei – José Luis Espert",0.102,0.537,0.45
"P45","No sabe",0.189,0.352,0.469
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.167,0.482,0.183
"P46","Javier Milei – José Luis Espert",0.055,0.378,0.436
"P46","No sabe",0.778,0.14,0.381
"P47","Muy buena",0.146,0.057,0.032
"P47","Buena",0.32,0.033,0.069
"P47","Ni buena ni mala",0.331,0.032,0.174
"P47","Mala",0.137,0.083,0.156
"P47","Muy mala",0.057,0.79,0.538
"P47","No sabe",0.009,0.005,0.031
"P48","Muy buena",0.172,0.023,0.042
"P48","Buena",0.376,0.01,0.026
"P48","Ni buena ni mala",0.239,0.027,0.144
"P48","Mala",0.136,0.084,0.147
"P48","Muy mala",0.066,0.851,0.612
"P48","No sabe",0.011,0.005,0.029
"P49","Muy buena",0.681,0.02,0.038
"P49","Buena",0.191,0.01,0.025
"P49","Ni buena ni mala",0.061,0.015,0.098
"P49","Mala",0.018,0.036,0.122
"P49","Muy mala",0.043,0.919,0.693
"P49","No sabe",0.006,0,0.024
"P50","Muy buena",0.076,0.306,0.027
"P50","Buena",0.038,0.318,0.069
"P50","Ni buena ni mala",0.041,0.175,0.281
"P50","Mala",0.197,0.044,0.232
"P50","Muy mala",0.64,0.156,0.373
"P50","No sabe",0.008,0.001,0.018
"P51","Muy buena",0.033,0.275,0.077
"P51","Buena",0.033,0.389,0.136
"P51","Ni buena ni mala",0.13,0.2,0.299
"P51","Mala",0.204,0.066,0.181
"P51","Muy mala",0.583,0.068,0.26
"P51","No sabe",0.017,0.002,0.047
"P52","Muy buena",0.174,0.038,0.033
"P52","Buena",0.309,0.055,0.085
"P52","Ni buena ni mala",0.296,0.104,0.215
"P52","Mala",0.114,0.142,0.173
"P52","Muy mala",0.1,0.656,0.465
"P52","No sabe",0.007,0.005,0.029
"P53","Muy buena",0.04,0.509,0.188
"P53","Buena",0.064,0.226,0.162
"P53","Ni buena ni mala",0.085,0.118,0.245
"P53","Mala",0.141,0.053,0.138
"P53","Muy mala",0.654,0.091,0.235
"P53","No sabe",0.016,0.003,0.032
"P54","Muy buena",0.027,0.204,0.307
"P54","Buena",0.036,0.2,0.137
"P54","Ni buena ni mala",0.119,0.377,0.212
"P54","Mala",0.151,0.125,0.106
"P54","Muy mala",0.652,0.086,0.21
"P54","No sabe",0.015,0.008,0.028
"P55","Muy buena",0.022,0.324,0.09
"P55","Buena",0.027,0.337,0.166
"P55","Ni buena ni mala",0.076,0.211,0.259
"P55","Mala",0.176,0.067,0.175
"P55","Muy mala",0.677,0.054,0.273
"P55","No sabe",0.022,0.007,0.037
"P56","Muy buena",0.181,0.042,0.02
"P56","Buena",0.35,0.04,0.087
"P56","Ni buena ni mala",0.266,0.085,0.176
"P56","Mala",0.081,0.178,0.241
"P56","Muy mala",0.106,0.652,0.448
"P56","No sabe",0.016,0.003,0.028
"P57","Muy buena",0.053,0.05,0.092
"P57","Buena",0.15,0.115,0.148
"P57","Ni buena ni mala",0.389,0.29,0.312
"P57","Mala",0.178,0.209,0.161
"P57","Muy mala",0.177,0.307,0.215
"P57","No sabe",0.053,0.029,0.072
"P58","Muy buena",0.019,0.075,0.034
"P58","Buena",0.057,0.187,0.114
"P58","Ni buena ni mala",0.237,0.408,0.435
"P58","Mala",0.189,0.129,0.093
"P58","Muy mala",0.438,0.142,0.222
"P58","No sabe",0.06,0.059,0.102
"P59","Siempre",0.341,0.29,0.283
"P59","Casi siempre",0.384,0.438,0.339
"P59","Casi nunca",0.144,0.194,0.271
"P59","Nunca, pero esta es una excepción",0.131,0.078,0.107
"P60","Si",0.597,0.544,0.506
"P60","No",0.403,0.456,0.494
