"var","categoria","Horacio Rodríguez Larreta – Gerardo Morales","Javier Milei – José Luis Espert","No sabe"
"P04","Tengo trabajo estable",0.395,0.531,0.422
"P04","Realizo changas o trabajos de vez en cuando",0.2,0.168,0.173
"P04","No tengo trabajo",0.126,0.169,0.175
"P04","Soy jubilado o pensionado",0.279,0.132,0.23
"P05","1",0.329,0.411,0.226
"P05","2",0.074,0.065,0.039
"P05","3",0.072,0.081,0.046
"P05","4",0.089,0.109,0.075
"P05","5",0.189,0.19,0.168
"P05","6",0.041,0.04,0.055
"P05","7",0.049,0.019,0.117
"P05","8",0.034,0.022,0.066
"P05","9",0.123,0.063,0.208
"P06","1",0.187,0.162,0.428
"P06","2",0.041,0.033,0.051
"P06","3",0.023,0.028,0.06
"P06","4",0.057,0.055,0.036
"P06","5",0.221,0.171,0.193
"P06","6",0.053,0.054,0.035
"P06","7",0.094,0.098,0.047
"P06","8",0.065,0.076,0.021
"P06","9",0.259,0.323,0.129
"P07","1",0.316,0.176,0.525
"P07","2",0.045,0.044,0.043
"P07","3",0.033,0.024,0.029
"P07","4",0.021,0.043,0.019
"P07","5",0.147,0.16,0.096
"P07","6",0.033,0.024,0.008
"P07","7",0.057,0.056,0.019
"P07","8",0.04,0.044,0.025
"P07","9",0.308,0.429,0.236
"P09","Del Frente de Todos y el peronismo",0.18,0.06,0.617
"P09","De Cambiemos",0.65,0.283,0.168
"P09","De los Liberales libertarios",0.04,0.537,0.046
"P09","De la Izquierda",0.028,0.01,0.055
"P09","No sabe",0.102,0.11,0.114
"P10","A Alberto Fernández",0.233,0.117,0.183
"P10","A Sergio Massa",0.305,0.361,0.169
"P10","A algún candidato del peronismo",0.171,0.193,0.144
"P10","A algún candidato del kirchnerismo",0.291,0.329,0.504
"P11","A Alberto Fernández",0.081,0.08,0.11
"P11","A Sergio Massa",0.18,0.247,0.105
"P11","A algún candidato del peronismo",0.148,0.289,0.105
"P11","A Cristina Fernández de Kirchner",0.591,0.384,0.68
"P12","A Horacio Rodriguez Larreta",0.287,0.123,0.241
"P12","A Mauricio Macri",0.352,0.344,0.346
"P12","A Patricia Bullrich",0.247,0.5,0.242
"P12","A Facundo Manes",0.086,0.031,0.14
"P12","A Gerardo Morales",0.028,0.002,0.031
"P13","Seguro lo votaria",0.149,0.263,0.151
"P13","Quizás lo votaría",0.291,0.5,0.264
"P13","Nunca lo votaría",0.56,0.237,0.585
"P14","Lo votaría",0.383,0.296,0.108
"P14","Puede que lo vote",0.262,0.31,0.07
"P14","Nunca lo votaría",0.292,0.324,0.759
"P14","No sabe",0.063,0.07,0.063
"P15","Lo votaría",0.111,0.073,0.189
"P15","Puede que lo vote",0.14,0.08,0.322
"P15","Nunca lo votaría",0.698,0.814,0.38
"P15","No sabe",0.051,0.033,0.109
"P16","Lo votaría",0.071,0.041,0.209
"P16","Puede que lo vote",0.106,0.037,0.301
"P16","Nunca lo votaría",0.79,0.893,0.396
"P16","No sabe",0.033,0.029,0.094
"P17","La votaría",0.137,0.049,0.59
"P17","Puede que la vote",0.054,0.024,0.079
"P17","Nunca la votaría",0.803,0.896,0.291
"P17","No sabe",0.006,0.031,0.04
"P18","Lo votaría",0.363,0.082,0.096
"P18","Puede que lo vote",0.358,0.336,0.107
"P18","Nunca lo votaría",0.24,0.525,0.743
"P18","No sabe",0.039,0.057,0.054
"P19","Lo votaría",0.082,0.058,0.048
"P19","Puede que lo vote",0.329,0.192,0.18
"P19","Nunca lo votaría",0.51,0.675,0.63
"P19","No sabe",0.079,0.075,0.142
"P20","La votaría",0.401,0.439,0.08
"P20","Puede que la vote",0.223,0.278,0.103
"P20","Nunca la votaría",0.331,0.245,0.76
"P20","No sabe",0.045,0.038,0.057
"P21","Lo votaría",0.093,0.496,0.041
"P21","Puede que lo vote",0.234,0.349,0.089
"P21","Nunca lo votaría",0.631,0.136,0.789
"P21","No sabe",0.042,0.019,0.081
"P22","La votaría",0.247,0.158,0.047
"P22","Puede que la vote",0.311,0.324,0.103
"P22","Nunca la votaría",0.364,0.47,0.763
"P22","No sabe",0.078,0.048,0.087
"P23","Lo votaría",0.063,0.045,0.147
"P23","Puede que lo vote",0.113,0.103,0.363
"P23","Nunca lo votaría",0.796,0.816,0.408
"P23","No sabe",0.028,0.036,0.082
"P24","Lo votaría",0.109,0.02,0.021
"P24","Puede que lo vote",0.307,0.151,0.11
"P24","Nunca lo votaría",0.498,0.755,0.746
"P24","No sabe",0.086,0.074,0.123
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.381,0.223,0.096
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.297,0.052,0.045
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.031,0.025,0.065
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.165,0.037,0.604
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.037,0.571,0.032
"P25","Nicolás del Caño – Myriam Bregman",0.015,0.02,0.034
"P25","Otros candidatos",0.074,0.072,0.124
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.189,0.065,0.645
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.583,0.233,0.126
"P29","Javier Milei – José Luis Espert por los liberales",0.04,0.616,0.038
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.024,0.012,0.045
"P29","Otro candidato",0.164,0.074,0.146
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.656,0.115,0.116
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.151,0.082,0.456
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.054,0.686,0.05
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.03,0.017,0.066
"P31","Otro candidato",0.109,0.1,0.312
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.197,0.06,0.46
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.595,0.343,0.133
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.032,0.543,0.04
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.036,0.019,0.07
"P33","Otro candidato",0.14,0.035,0.297
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.188,0.095,0.476
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.654,0.099,0.088
"P35","Javier Milei – José Luis Espert por los liberales",0.031,0.711,0.049
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.029,0.009,0.066
"P35","Otro candidato",0.098,0.086,0.321
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.197,0.07,0.626
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.662,0.106,0.092
"P37","Javier Milei – José Luis Espert por los liberales",0.037,0.743,0.038
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.02,0.01,0.033
"P37","Otro candidato",0.084,0.071,0.211
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.196,0.056,0.487
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.614,0.244,0.109
"P38","Javier Milei – José Luis Espert por los liberales",0.021,0.642,0.038
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.025,0.012,0.054
"P38","Otro candidato",0.144,0.046,0.312
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.2,0.07,0.65
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.649,0.546,0.132
"P39","No sabe",0.151,0.384,0.218
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.171,0.07,0.532
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.732,0.48,0.086
"P40","No sabe",0.097,0.45,0.382
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.212,0.061,0.534
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.642,0.682,0.136
"P41","No sabe",0.146,0.257,0.33
