"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P04","Tengo trabajo estable",0.439,0.45,0.398
"P04","Realizo changas o trabajos de vez en cuando",0.187,0.152,0.235
"P04","No tengo trabajo",0.142,0.145,0.205
"P04","Soy jubilado o pensionado",0.232,0.253,0.162
"P05","1",0.204,0.392,0.282
"P05","2",0.051,0.075,0.048
"P05","3",0.033,0.093,0.045
"P05","4",0.049,0.112,0.079
"P05","5",0.145,0.184,0.231
"P05","6",0.059,0.028,0.051
"P05","7",0.153,0.023,0.045
"P05","8",0.077,0.024,0.057
"P05","9",0.229,0.069,0.162
"P06","1",0.476,0.131,0.293
"P06","2",0.043,0.042,0.044
"P06","3",0.071,0.024,0.039
"P06","4",0.076,0.032,0.034
"P06","5",0.163,0.188,0.242
"P06","6",0.028,0.057,0.037
"P06","7",0.031,0.116,0.045
"P06","8",0.013,0.084,0.049
"P06","9",0.099,0.326,0.217
"P07","1",0.618,0.202,0.347
"P07","2",0.05,0.038,0.038
"P07","3",0.032,0.035,0.018
"P07","4",0.02,0.028,0.028
"P07","5",0.097,0.162,0.104
"P07","6",0.009,0.024,0.029
"P07","7",0.013,0.063,0.021
"P07","8",0.014,0.056,0.047
"P07","9",0.147,0.392,0.368
"P09","Del Frente de Todos y el peronismo",0.79,0.041,0.288
"P09","De Cambiemos",0.077,0.635,0.176
"P09","De los Liberales libertarios",0.021,0.248,0.252
"P09","De la Izquierda",0.04,0.007,0.066
"P09","No sabe",0.072,0.069,0.218
"P10","A Alberto Fernández",0.16,0.249,0.346
"P10","A Sergio Massa",0.242,0.082,0.138
"P10","A algún candidato del peronismo",0.088,0.599,0.242
"P10","A algún candidato del kirchnerismo",0.51,0.07,0.274
"P11","A Alberto Fernández",0.085,0.246,0.257
"P11","A Sergio Massa",0.156,0.082,0.053
"P11","A algún candidato del peronismo",0.063,0.62,0.217
"P11","A Cristina Fernández de Kirchner",0.696,0.052,0.473
"P12","A Horacio Rodriguez Larreta",0.294,0.216,0.325
"P12","A Mauricio Macri",0.076,0.376,0.374
"P12","A Patricia Bullrich",0,0.375,0.083
"P12","A Facundo Manes",0.518,0.021,0.192
"P12","A Gerardo Morales",0.112,0.012,0.026
"P13","Seguro lo votaria",0.145,0.193,0.159
"P13","Quizás lo votaría",0.051,0.338,0.404
"P13","Nunca lo votaría",0.804,0.469,0.437
"P14","Lo votaría",0.023,0.473,0.102
"P14","Puede que lo vote",0.052,0.324,0.164
"P14","Nunca lo votaría",0.859,0.163,0.635
"P14","No sabe",0.066,0.04,0.099
"P15","Lo votaría",0.282,0.068,0.057
"P15","Puede que lo vote",0.442,0.06,0.151
"P15","Nunca lo votaría",0.197,0.838,0.674
"P15","No sabe",0.079,0.034,0.118
"P16","Lo votaría",0.266,0.015,0.132
"P16","Puede que lo vote",0.455,0.005,0.102
"P16","Nunca lo votaría",0.194,0.969,0.672
"P16","No sabe",0.085,0.011,0.094
"P17","La votaría",0.75,0.011,0.273
"P17","Puede que la vote",0.125,0.003,0.08
"P17","Nunca la votaría",0.097,0.981,0.587
"P17","No sabe",0.028,0.005,0.06
"P18","Lo votaría",0.094,0.262,0.119
"P18","Puede que lo vote",0.073,0.393,0.189
"P18","Nunca lo votaría",0.81,0.304,0.582
"P18","No sabe",0.023,0.041,0.11
"P19","Lo votaría",0.04,0.071,0.074
"P19","Puede que lo vote",0.201,0.253,0.216
"P19","Nunca lo votaría",0.653,0.605,0.541
"P19","No sabe",0.106,0.071,0.169
"P20","La votaría",0.022,0.56,0.074
"P20","Puede que la vote",0.05,0.297,0.168
"P20","Nunca la votaría",0.9,0.116,0.649
"P20","No sabe",0.028,0.027,0.109
"P21","Lo votaría",0.017,0.28,0.247
"P21","Puede que lo vote",0.053,0.341,0.143
"P21","Nunca lo votaría",0.902,0.347,0.514
"P21","No sabe",0.028,0.032,0.096
"P22","La votaría",0.022,0.266,0.079
"P22","Puede que la vote",0.037,0.402,0.155
"P22","Nunca la votaría",0.884,0.273,0.651
"P22","No sabe",0.057,0.059,0.115
"P23","Lo votaría",0.189,0.032,0.064
"P23","Puede que lo vote",0.46,0.068,0.171
