"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.396,0.416,0.503,0.528,0.354
"P04","Realizo changas o trabajos de vez en cuando",0.209,0.148,0.187,0.209,0.255
"P04","No tengo trabajo",0.154,0.154,0.207,0.152,0.221
"P04","Soy jubilado o pensionado",0.241,0.282,0.103,0.111,0.17
"P05","1",0.19,0.371,0.422,0.146,0.229
"P05","2",0.064,0.05,0.064,0.052,0.079
"P05","3",0.028,0.093,0.097,0.042,0.045
"P05","4",0.06,0.117,0.057,0.047,0.079
"P05","5",0.177,0.204,0.195,0.111,0.219
"P05","6",0.046,0.03,0.044,0.047,0.039
"P05","7",0.154,0.018,0.032,0.043,0.098
"P05","8",0.063,0.031,0.017,0.128,0.064
"P05","9",0.218,0.086,0.072,0.384,0.148
"P06","1",0.461,0.146,0.195,0.37,0.327
"P06","2",0.056,0.05,0.014,0.111,0.047
"P06","3",0.066,0.029,0.011,0.07,0.046
"P06","4",0.061,0.028,0.046,0.046,0.033
"P06","5",0.156,0.193,0.187,0.326,0.248
"P06","6",0.03,0.065,0.036,0,0.03
"P06","7",0.039,0.102,0.094,0.008,0.057
"P06","8",0.013,0.074,0.081,0.034,0.035
"P06","9",0.118,0.313,0.336,0.035,0.177
"P07","1",0.594,0.234,0.175,0.657,0.424
"P07","2",0.044,0.035,0.032,0.092,0.039
"P07","3",0.032,0.036,0.02,0.017,0.023
"P07","4",0.023,0.019,0.046,0.01,0.023
"P07","5",0.087,0.136,0.169,0.066,0.096
"P07","6",0.007,0.022,0.032,0.017,0.018
"P07","7",0.017,0.061,0.055,0.004,0.032
"P07","8",0.014,0.058,0.051,0.022,0.041
"P07","9",0.182,0.399,0.42,0.115,0.304
"P09","Del Frente de Todos y el peronismo",0.775,0.071,0.072,0.302,0.4
"P09","De Cambiemos",0.102,0.74,0.11,0.149,0.224
"P09","De los Liberales libertarios",0.016,0.1,0.691,0.018,0.057
"P09","De la Izquierda",0.015,0.014,0.012,0.441,0.029
"P09","No sabe",0.092,0.075,0.115,0.09,0.29
"P10","A Alberto Fernández",0.168,0.226,0.364,0.219,0.257
"P10","A Sergio Massa",0.264,0.183,0.379,0.017,0.054
"P10","A algún candidato del peronismo",0.101,0.449,0.039,0.195,0.257
"P10","A algún candidato del kirchnerismo",0.467,0.142,0.218,0.569,0.432
"P11","A Alberto Fernández",0.111,0.136,0.364,0.13,0.187
"P11","A Sergio Massa",0.161,0.186,0.09,0.017,0.036
"P11","A algún candidato del peronismo",0.052,0.477,0.439,0.033,0.188
"P11","A Cristina Fernández de Kirchner",0.676,0.201,0.107,0.82,0.589
"P12","A Horacio Rodriguez Larreta",0.309,0.213,0.236,0.863,0.293
"P12","A Mauricio Macri",0.23,0.367,0.431,0.032,0.342
"P12","A Patricia Bullrich",0.052,0.371,0.278,0,0.12
"P12","A Facundo Manes",0.352,0.032,0.029,0.105,0.225
"P12","A Gerardo Morales",0.057,0.017,0.026,0,0.02
"P13","Seguro lo votaria",0.154,0.173,0.438,0.384,0.076
"P13","Quizás lo votaría",0.161,0.348,0.42,0.31,0.285
"P13","Nunca lo votaría",0.685,0.479,0.142,0.306,0.639
"P14","Lo votaría",0.053,0.513,0.162,0.104,0.123
"P14","Puede que lo vote",0.054,0.3,0.32,0.103,0.109
"P14","Nunca lo votaría",0.83,0.155,0.427,0.67,0.652
"P14","No sabe",0.063,0.032,0.091,0.123,0.116
"P15","Lo votaría",0.295,0.083,0.049,0.063,0.047
"P15","Puede que lo vote",0.44,0.06,0.098,0.163,0.216
"P15","Nunca lo votaría",0.199,0.825,0.783,0.636,0.565
"P15","No sabe",0.066,0.032,0.07,0.138,0.172
"P16","Lo votaría",0.281,0.023,0.045,0.123,0.153
"P16","Puede que lo vote",0.423,0.024,0.023,0.18,0.153
"P16","Nunca lo votaría",0.208,0.936,0.894,0.589,0.565
"P16","No sabe",0.088,0.017,0.038,0.108,0.129
"P17","La votaría",0.755,0.036,0.043,0.352,0.396
"P17","Puede que la vote",0.121,0.014,0.041,0.11,0.075
"P17","Nunca la votaría",0.103,0.941,0.873,0.476,0.456
"P17","No sabe",0.021,0.009,0.043,0.062,0.073
"P18","Lo votaría",0.108,0.321,0.098,0.118,0.12
"P18","Puede que lo vote",0.097,0.401,0.213,0.122,0.204
"P18","Nunca lo votaría",0.764,0.244,0.595,0.682,0.562
"P18","No sabe",0.031,0.034,0.094,0.078,0.114
"P19","Lo votaría",0.06,0.087,0.037,0.097,0.081
"P19","Puede que lo vote",0.208,0.273,0.186,0.25,0.211
"P19","Nunca lo votaría",0.621,0.585,0.638,0.519,0.502
"P19","No sabe",0.111,0.055,0.139,0.134,0.206
"P20","La votaría",0.055,0.585,0.234,0.003,0.068
"P20","Puede que la vote",0.062,0.26,0.306,0.078,0.147
"P20","Nunca la votaría",0.845,0.125,0.383,0.835,0.669
"P20","No sabe",0.038,0.03,0.077,0.084,0.116
"P21","Lo votaría",0.039,0.15,0.671,0.032,0.02
"P21","Puede que lo vote",0.06,0.359,0.227,0.086,0.102
"P21","Nunca lo votaría",0.869,0.441,0.081,0.781,0.74
"P21","No sabe",0.032,0.05,0.021,0.101,0.138
"P22","La votaría",0.048,0.282,0.138,0.011,0.041
"P22","Puede que la vote",0.071,0.41,0.24,0.109,0.153
"P22","Nunca la votaría",0.825,0.242,0.565,0.753,0.689
"P22","No sabe",0.056,0.066,0.057,0.127,0.117
