"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.37,0.4,0.54,0.655,0.419
"P04","Realizo changas o trabajos de vez en cuando",0.213,0.183,0.167,0.14,0.177
"P04","No tengo trabajo",0.186,0.141,0.163,0.116,0.169
"P04","Soy jubilado o pensionado",0.231,0.276,0.13,0.089,0.235
"P05","1",0.191,0.365,0.435,0.078,0.263
"P05","2",0.062,0.054,0.059,0.056,0.076
"P05","3",0.031,0.082,0.099,0.018,0.055
"P05","4",0.061,0.102,0.064,0.046,0.141
"P05","5",0.163,0.212,0.18,0.134,0.25
"P05","6",0.048,0.03,0.04,0.088,0.043
"P05","7",0.135,0.036,0.019,0.097,0.044
"P05","8",0.082,0.029,0.023,0.178,0.035
"P05","9",0.227,0.09,0.081,0.305,0.093
"P06","1",0.466,0.152,0.184,0.328,0.213
"P06","2",0.068,0.055,0.018,0.083,0.023
"P06","3",0.072,0.028,0.026,0.061,0.025
"P06","4",0.065,0.033,0.029,0.083,0.038
"P06","5",0.147,0.238,0.155,0.32,0.271
"P06","6",0.029,0.047,0.038,0,0.079
"P06","7",0.032,0.09,0.097,0.018,0.086
"P06","8",0.01,0.069,0.099,0.038,0.043
"P06","9",0.111,0.288,0.354,0.069,0.222
"P07","1",0.589,0.256,0.191,0.716,0.317
"P07","2",0.054,0.034,0.028,0.041,0.042
"P07","3",0.031,0.033,0.023,0.009,0.027
"P07","4",0.017,0.017,0.046,0.01,0.045
"P07","5",0.082,0.134,0.163,0.083,0.136
"P07","6",0.013,0.031,0.023,0,0.022
"P07","7",0.015,0.062,0.05,0.009,0.031
"P07","8",0.016,0.059,0.057,0.048,0.034
"P07","9",0.183,0.374,0.419,0.084,0.346
"P09","Del Frente de Todos y el peronismo",0.829,0.082,0.027,0.093,0.131
"P09","De Cambiemos",0.074,0.772,0.212,0.062,0.379
"P09","De los Liberales libertarios",0.015,0.037,0.642,0.032,0.116
"P09","De la Izquierda",0.017,0.009,0.01,0.743,0.06
"P09","No sabe",0.065,0.1,0.109,0.07,0.314
"P10","A Alberto Fernández",0.201,0.162,0.168,0.239,0.338
"P10","A Sergio Massa",0.203,0.228,0.623,0,0.132
"P10","A algún candidato del peronismo",0.126,0.343,0.148,0.47,0.266
"P10","A algún candidato del kirchnerismo",0.47,0.267,0.061,0.291,0.264
"P11","A Alberto Fernández",0.123,0.091,0.168,0.152,0.24
"P11","A Sergio Massa",0.129,0.202,0.073,0,0.17
"P11","A algún candidato del peronismo",0.082,0.368,0.698,0.205,0.372
"P11","A Cristina Fernández de Kirchner",0.666,0.339,0.061,0.643,0.218
"P12","A Horacio Rodriguez Larreta",0.273,0.321,0.144,0.214,0.062
"P12","A Mauricio Macri",0.106,0.345,0.349,0.195,0.476
"P12","A Patricia Bullrich",0.09,0.264,0.489,0,0.354
"P12","A Facundo Manes",0.421,0.051,0.016,0.591,0.093
"P12","A Gerardo Morales",0.11,0.019,0.002,0,0.015
"P13","Seguro lo votaria",0.067,0.167,0.382,0,0.121
"P13","Quizás lo votaría",0.09,0.316,0.435,0.08,0.341
"P13","Nunca lo votaría",0.843,0.517,0.183,0.92,0.538
"P14","Lo votaría",0.04,0.469,0.237,0.054,0.28
"P14","Puede que lo vote",0.044,0.296,0.326,0.053,0.214
