"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Tiene Decidido que va a ir a votar.",0.898,0.888,0.907,0.905,0.899,0.913,0.865,0.835,0.92,0.979,0.885,0.923,0.933,0.862,0.927,0.926,0.933,0.809,0.926,0.858,0.841,0.959,0.973,0.888,0.982
"Tiene dudas sobre si va a ir a  votar",0.071,0.088,0.055,0.065,0.073,0.07,0.077,0.124,0.047,0.012,0.084,0.077,0.033,0.119,0.071,0.057,0.046,0.105,0.062,0.107,0.095,0.031,0.012,0.082,0.018
"Tiene Decidido que no va a ir a votar",0.031,0.024,0.038,0.03,0.028,0.017,0.058,0.041,0.033,0.009,0.031,0,0.034,0.019,0.002,0.017,0.021,0.086,0.012,0.035,0.064,0.01,0.015,0.03,0
