"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Totalmente seguro.",0.695,0.737,0.657,0.72,0.646,0.735,0.713,0.681,0.68,0.749,0.7,0.654,0.735,0.651,0.793,0.713,0.763,0.646,0.775,0.623,0.681,0.699,0.782,0.684,0.832
"Bastante seguro",0.136,0.136,0.136,0.137,0.129,0.146,0.137,0.142,0.136,0.126,0.151,0.142,0.124,0.243,0.116,0.142,0.116,0.176,0.053,0.168,0.123,0.145,0.113,0.111,0.109
"Algo seguro",0.089,0.066,0.11,0.057,0.134,0.054,0.088,0.095,0.09,0.077,0.101,0.079,0.088,0.038,0.066,0.093,0.068,0.099,0.094,0.09,0.114,0.122,0.056,0.129,0.017
"Para nada seguro",0.08,0.061,0.097,0.086,0.091,0.065,0.062,0.082,0.094,0.048,0.048,0.125,0.053,0.068,0.025,0.052,0.053,0.079,0.078,0.119,0.082,0.034,0.049,0.076,0.042
