"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.497,0.299,0.284,0.292
"P05","Bastante",0.293,0.335,0.381,0.35
"P05","Poco",0.104,0.267,0.227,0.101
"P05","Nada",0.071,0.055,0.048,0.235
"P05","No sabe",0.035,0.044,0.06,0.022
"P06","Siempre",0.283,0.153,0.265,0.067
"P06","Casi siempre",0.275,0.452,0.258,0.255
"P06","Casi nunca",0.298,0.299,0.324,0.438
"P06","Nunca, pero esta es una excepción",0.144,0.096,0.153,0.24
"P10","Unidos para Cambiar misiones",0.277,0.254,0.323,0.218
"P10","Juntos Avancemos",0.302,0.373,0.283,0.195
"P10","De los liberales libertarios",0.326,0.264,0.077,0.106
"P10","De la Izquierda",0.039,0.009,0.006,0.007
"P10","Hacemos por nuestro país",0.002,0.021,0.045,0.007
"P10","En blanco",0.032,0.044,0.062,0.117
"P10","No sabe",0.022,0.035,0.204,0.35
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.346,0.315,0.389,0.223
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.269,0.333,0.168,0.125
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.335,0.294,0.233,0.136
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.019,0.019,0.017,0.07
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.005,0.021,0.028,0.007
"P13","En blanco",0.011,0.011,0.048,0.101
"P13","No sabe",0.015,0.007,0.117,0.338
"P16","Si",0.454,0.603,0.55,0.486
"P16","No",0.546,0.397,0.45,0.514
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.28,0.274,0.316,0.441
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.237,0.257,0.186,0.014
"P17","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.453,0.402,0.312,0.304
"P17","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.003,0.025,0,0
"P17","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0,0.028,0.014
"P17","En blanco",0.001,0.007,0.082,0
"P17","No sabe",0.024,0.035,0.076,0.227
"P20","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.312,0.252,0.308,0.283
"P20","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.483,0.472,0.362,0.409
"P20","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.125,0.208,0.121,0.107
"P20","En blanco",0.032,0.031,0.092,0.027
"P20","No sabe",0.048,0.037,0.117,0.174
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.459,0.201,0.308,0.197
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.278,0.498,0.186,0.301
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.172,0.168,0.289,0.119
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.038,0.051,0.103,0.125
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.021,0.026,0.046,0.064
"P23","No sabe",0.032,0.056,0.068,0.194
"P25","Tiene Decidido que va a ir a votar.",0.978,0.681,0.7,0.779
"P25","Tiene dudas sobre si va a ir a  votar",0.016,0.319,0.109,0.098
"P25","Tiene Decidido que no va a ir a votar",0.006,0,0.191,0.123
"P26","La votaría",0.48,0.414,0.551,0.381
"P26","Puede que la vote",0.054,0.175,0.092,0.154
"P26","Nunca la votaría",0.449,0.353,0.245,0.355
"P26","No sabe",0.017,0.058,0.112,0.11
"P27","La votaría",0.341,0.251,0.244,0.147
"P27","Puede que la vote",0.134,0.225,0.116,0.295
"P27","Nunca la votaría",0.493,0.418,0.477,0.45
"P27","No sabe",0.032,0.106,0.163,0.108
"P28","La votaría",0.362,0.282,0.197,0.141
"P28","Puede que la vote",0.102,0.175,0.108,0.321
"P28","Nunca la votaría",0.512,0.491,0.573,0.486
"P28","No sabe",0.024,0.052,0.122,0.052
"P29","Si",0.467,0.367,0.379,0.168
"P29","No",0.533,0.633,0.621,0.832
"PRESIDENTE","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.347,0.355,0.419,0.302
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.27,0.131,0.053
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.352,0.328,0.311,0.172
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.016,0.009,0.02
