"var","categoria","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.529,0.359,0.278,0.187,0.378
"P05","Bastante",0.313,0.456,0.194,0.399,0.304
"P05","Poco",0.068,0.07,0.457,0.197,0.083
"P05","Nada",0.081,0.077,0.065,0,0.139
"P05","No sabe",0.009,0.038,0.006,0.217,0.096
"P06","Siempre",0.272,0.187,0.197,0.118,0.265
"P06","Casi siempre",0.299,0.387,0.187,0.417,0.22
"P06","Casi nunca",0.308,0.274,0.436,0.301,0.06
"P06","Nunca, pero esta es una excepción",0.121,0.152,0.18,0.164,0.455
"P10","Unidos para Cambiar misiones",0.439,0.064,0.116,0.123,0.395
"P10","Juntos Avancemos",0.256,0.444,0.271,0.01,0.075
"P10","De los liberales libertarios",0.21,0.351,0.447,0.491,0.12
"P10","De la Izquierda",0.002,0.036,0.031,0,0.036
"P10","Hacemos por nuestro país",0.02,0.014,0.067,0.026,0
"P10","En blanco",0.043,0.031,0.068,0.272,0.036
"P10","No sabe",0.03,0.06,0,0.078,0.338
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.536,0.094,0.191,0,0.419
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.136,0.415,0.155,0.371,0.07
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.264,0.383,0.561,0.255,0.131
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.008,0.038,0.026,0.095,0.036
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.027,0.014,0.055,0.026,0
"P13","En blanco",0.01,0.019,0,0.208,0.012
"P13","No sabe",0.019,0.037,0.012,0.045,0.332
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.345,0.509,0.516,0.327,0.24
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.234,0.305,0.272,0.1,0.087
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.255,0.128,0.058,0.03,0.292
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.105,0.003,0.061,0.263,0.067
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.016,0.02,0.007,0.069,0.226
"P23","No sabe",0.045,0.035,0.086,0.211,0.088
"P24","Totalmente seguro.",0.672,0.673,0.587,0.546,0.487
"P24","Bastante seguro",0.142,0.172,0.256,0.137,0.099
"P24","Algo seguro",0.109,0.083,0.094,0.258,0.193
"P24","Para nada seguro",0.077,0.072,0.063,0.059,0.221
"P25","Tiene Decidido que va a ir a votar.",0.918,0.915,0.87,0.902,0.695
"P25","Tiene dudas sobre si va a ir a  votar",0.067,0.055,0.123,0.068,0.178
"P25","Tiene Decidido que no va a ir a votar",0.015,0.03,0.007,0.03,0.127
"P26","La votaría",0.725,0.223,0.411,0.028,0.381
"P26","Puede que la vote",0.114,0.111,0.109,0.097,0.257
"P26","Nunca la votaría",0.128,0.62,0.405,0.65,0.264
"P26","No sabe",0.033,0.046,0.075,0.225,0.098
"P27","La votaría",0.225,0.313,0.288,0.14,0.082
"P27","Puede que la vote",0.168,0.305,0.195,0.035,0.084
"P27","Nunca la votaría",0.514,0.352,0.411,0.825,0.564
"P27","No sabe",0.093,0.03,0.106,0,0.27
"P28","La votaría",0.202,0.469,0.578,0.745,0.115
"P28","Puede que la vote",0.103,0.225,0.092,0.032,0.127
"P28","Nunca la votaría",0.664,0.272,0.316,0.223,0.449
"P28","No sabe",0.031,0.034,0.014,0,0.309
"P29","Si",0.447,0.389,0.438,0.348,0.315
"P29","No",0.553,0.611,0.562,0.652,0.685
"PRESIDENTE","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.551,0.148,0.24,0.217,0.35
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.154,0.34,0.072,0.154,0.097
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.257,0.464,0.688,0.273,0.211
