"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.37,0.355,0.384,0.331,0.367,0.418,0.387,0.42,0.307,0.387,0.645,0.585,0.19,0.21,0.151,0.711,0.091,0.262,0.192,0.416,0.353,0.265,0.331,0.455,0.335
"Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.375,0.393,0.358,0.315,0.372,0.396,0.463,0.326,0.404,0.416,0.214,0.264,0.652,0.524,0.392,0.159,0.69,0.587,0.231,0.35,0.344,0.451,0.405,0.322,0.444
"Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.207,0.217,0.199,0.321,0.194,0.142,0.119,0.207,0.243,0.146,0.134,0.075,0.13,0.226,0.398,0.113,0.194,0.123,0.542,0.199,0.254,0.239,0.2,0.115,0.212
"En blanco",0.048,0.035,0.059,0.033,0.067,0.044,0.031,0.047,0.046,0.051,0.007,0.076,0.028,0.04,0.059,0.017,0.025,0.028,0.035,0.035,0.049,0.045,0.064,0.108,0.009
