"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.309,0.314,0.305,0.32,0.267,0.365,0.316,0.359,0.243,0.33,0.625,0.413,0.17,0.114,0.076,0.621,0.094,0.318,0.135,0.337,0.337,0.228,0.252,0.344,0.288
"Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.255,0.247,0.262,0.171,0.214,0.307,0.436,0.217,0.267,0.306,0.164,0.128,0.59,0.446,0.104,0.117,0.482,0.482,0.071,0.247,0.234,0.344,0.268,0.194,0.273
"Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.3,0.339,0.264,0.415,0.321,0.21,0.165,0.27,0.361,0.25,0.166,0.235,0.177,0.286,0.688,0.186,0.358,0.138,0.695,0.253,0.295,0.282,0.369,0.344,0.343
"Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.027,0.034,0.021,0.028,0.035,0.007,0.032,0.028,0.021,0.036,0.002,0.075,0.019,0.034,0.028,0.006,0.026,0.03,0.03,0.03,0.012,0.034,0.057,0.003,0.027
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.02,0.012,0.027,0.022,0.023,0.024,0.004,0.015,0.024,0.023,0.01,0.029,0,0.005,0.056,0.012,0.012,0.015,0,0.007,0.027,0.029,0,0.033,0.048
"En blanco",0.027,0.017,0.037,0.013,0.038,0.03,0.021,0.037,0.023,0.016,0.002,0.111,0.019,0.041,0.001,0.021,0.014,0,0,0.034,0.02,0.05,0.026,0.027,0
"No sabe",0.062,0.037,0.084,0.031,0.102,0.057,0.026,0.074,0.061,0.039,0.031,0.009,0.025,0.074,0.047,0.037,0.014,0.017,0.069,0.092,0.075,0.033,0.028,0.055,0.021
