"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Mucho",0.388,0.439,0.339,0.315,0.429,0.378,0.444,0.38,0.341,0.49,0.497,0.362,0.462,0.468,0.291,0.522,0.368,0.476,0.389,0.507,0.284,0.39,0.415,0.282,0.302
"Bastante",0.293,0.292,0.294,0.325,0.252,0.345,0.258,0.26,0.322,0.303,0.294,0.333,0.278,0.332,0.383,0.269,0.356,0.29,0.346,0.203,0.463,0.251,0.258,0.208,0.406
"Poco",0.167,0.144,0.19,0.176,0.168,0.158,0.162,0.171,0.183,0.133,0.117,0.202,0.156,0.14,0.189,0.126,0.181,0.152,0.105,0.161,0.141,0.273,0.064,0.204,0.221
"Nada",0.097,0.071,0.121,0.114,0.103,0.065,0.092,0.109,0.11,0.049,0.065,0.044,0.074,0.017,0.073,0.063,0.051,0.05,0.047,0.094,0.087,0.065,0.238,0.044,0.04
"No sabe",0.055,0.054,0.056,0.07,0.048,0.054,0.044,0.08,0.044,0.025,0.027,0.059,0.03,0.043,0.064,0.02,0.044,0.032,0.113,0.035,0.025,0.021,0.025,0.262,0.031
