"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.352,0.348,0.355,0.324,0.332,0.418,0.36,0.393,0.295,0.373,0.612,0.58,0.19,0.207,0.141,0.687,0.089,0.262,0.192,0.391,0.337,0.245,0.299,0.446,0.335
"Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.355,0.367,0.345,0.297,0.343,0.379,0.461,0.312,0.378,0.398,0.201,0.264,0.633,0.506,0.369,0.153,0.672,0.585,0.185,0.328,0.327,0.445,0.384,0.28,0.439
"Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.197,0.212,0.183,0.306,0.186,0.136,0.107,0.189,0.234,0.146,0.133,0.065,0.13,0.227,0.396,0.113,0.191,0.123,0.542,0.186,0.225,0.239,0.2,0.115,0.212
"En blanco",0.044,0.034,0.053,0.033,0.062,0.036,0.031,0.047,0.039,0.048,0.007,0.076,0.028,0.035,0.059,0.017,0.025,0.023,0.035,0.034,0.042,0.045,0.061,0.095,0.009
"No sabe",0.052,0.039,0.064,0.04,0.077,0.031,0.041,0.059,0.054,0.035,0.047,0.015,0.019,0.025,0.035,0.03,0.023,0.007,0.046,0.061,0.069,0.026,0.056,0.064,0.005
