"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.324,0.318,0.329,0.32,0.294,0.377,0.331,0.373,0.264,0.336,0.65,0.423,0.171,0.118,0.084,0.644,0.094,0.33,0.135,0.369,0.35,0.244,0.251,0.344,0.288
"Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.27,0.258,0.281,0.171,0.245,0.325,0.436,0.233,0.281,0.32,0.164,0.128,0.608,0.487,0.104,0.118,0.491,0.488,0.084,0.266,0.246,0.351,0.272,0.22,0.291
"Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.325,0.36,0.292,0.433,0.36,0.23,0.171,0.305,0.38,0.265,0.172,0.235,0.182,0.315,0.727,0.199,0.363,0.138,0.751,0.282,0.337,0.292,0.389,0.363,0.346
"Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.031,0.034,0.028,0.041,0.037,0.007,0.032,0.037,0.021,0.038,0.002,0.075,0.02,0.034,0.028,0.006,0.026,0.029,0.03,0.041,0.015,0.034,0.057,0.003,0.027
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.021,0.013,0.029,0.022,0.026,0.024,0.004,0.015,0.027,0.023,0.01,0.028,0,0.005,0.056,0.012,0.012,0.015,0,0.007,0.032,0.029,0,0.033,0.048
"En blanco",0.029,0.017,0.041,0.013,0.038,0.037,0.026,0.037,0.027,0.018,0.002,0.111,0.019,0.041,0.001,0.021,0.014,0,0,0.035,0.02,0.05,0.031,0.037,0
