"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.283,0.312,0.256,0.293,0.251,0.232,0.413,0.341,0.23,0.258,0.492,0.578,0.204,0.223,0.118,0.452,0.178,0.159,0.162,0.315,0.244,0.347,0.347,0.249,0.158
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.227,0.173,0.278,0.146,0.228,0.268,0.33,0.167,0.242,0.322,0.228,0.197,0.548,0.333,0.051,0.151,0.36,0.567,0.042,0.28,0.223,0.368,0.231,0.12,0.045
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.419,0.48,0.36,0.515,0.394,0.444,0.249,0.426,0.468,0.317,0.226,0.154,0.248,0.335,0.806,0.325,0.42,0.241,0.796,0.327,0.432,0.263,0.358,0.553,0.753
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.005,0.007,0.008,0.009,0.002,0,0,0,0.029,0,0.036,0,0.005,0,0.008,0.001,0,0,0.01,0.005,0.005,0,0,0.01
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.008,0.002,0,0.014,0,0,0,0.008,0.01,0,0,0,0.01,0.004,0.009,0,0.023,0,0.003,0,0,0,0,0.034
"En blanco",0.017,0.003,0.031,0,0.043,0.008,0,0.034,0.003,0.008,0,0.013,0,0.07,0,0.007,0,0,0,0.026,0.036,0.01,0,0,0
"No sabe",0.043,0.019,0.066,0.038,0.061,0.046,0.008,0.032,0.049,0.056,0.054,0.022,0,0.024,0.021,0.048,0.041,0.01,0,0.039,0.06,0.007,0.064,0.078,0
