"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"GOBERNADOR","En blanco",0.021,0.046,0.077,0.034,0.185
"GOBERNADOR","No sabe",0.026,0.056,0.035,0.194,0.08
"CORTA_PRESIDENTE","Si",0.204,0.256,0.178,0.224,0.408
"CORTA_PRESIDENTE","No",0.796,0.744,0.822,0.776,0.592
"CORTA_GOBERNADOR","Si",0.269,0.373,0.258,0.298,0.376
"CORTA_GOBERNADOR","No",0.731,0.627,0.742,0.702,0.624
"P13_imputada","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.404,0.302,0.219,0.278,0.146
"P13_imputada","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.274,0.266,0.252,0.234,0.374
"P13_imputada","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.274,0.372,0.385,0.265,0.374
"P13_imputada","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.022,0.017,0.039,0.109,0.057
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.027,0.048,0.021,0.018
"P13_imputada","En blanco",0.018,0.016,0.057,0.093,0.031
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.429,0.291,0.278,0.344,0.285
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.276,0.248,0.197,0.309,0.222
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.27,0.404,0.427,0.279,0.381
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.017,0.028,0.018,0.059
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.001,0.026,0.025,0,0.019
"PRESIDENTE_imputada","En blanco",0.015,0.014,0.045,0.05,0.034
"GOBERNADOR_imputada","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.454,0.323,0.26,0.39,0.174
"GOBERNADOR_imputada","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.337,0.457,0.275,0.422,0.415
"GOBERNADOR_imputada","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.187,0.169,0.385,0.136,0.226
"GOBERNADOR_imputada","En blanco",0.022,0.051,0.08,0.052,0.185
