"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.409,0.395,0.422,0.38,0.449,0.371,0.411,0.419,0.413,0.387,0.659,0.139,0.194,0.426,0.375,0.72,0.562,0.072,0.342,0.118
"Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.261,0.216,0.303,0.227,0.202,0.346,0.341,0.291,0.227,0.277,0.107,0.517,0.337,0.246,0.29,0.11,0.194,0.703,0.431,0.138
"Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.217,0.308,0.132,0.284,0.245,0.164,0.112,0.192,0.234,0.222,0.138,0.26,0.247,0.2,0.25,0.103,0.119,0.145,0.126,0.671
"Gobernador y vicegobernador de la izquierda",0.043,0.025,0.06,0.045,0.05,0.038,0.03,0.031,0.057,0.037,0.035,0.017,0,0.048,0.034,0.008,0.081,0.015,0.025,0.035
"En blanco",0.07,0.056,0.083,0.064,0.054,0.081,0.106,0.067,0.069,0.077,0.061,0.067,0.222,0.08,0.051,0.059,0.044,0.065,0.076,0.038
