"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.383,0.362,0.272
"P10","Juntos por el Cambio",0.263,0.081,0.128
"P10","De los liberales libertarios",0.22,0.215,0.009
"P10","De la Izquierda",0.06,0.056,0.286
"P10","Hacemos por nuestro país",0.012,0.005,0.109
"P10","Otro",0.019,0.031,0.139
"P10","En blanco",0.007,0.166,0.036
"P10","No sabe",0.036,0.084,0.021
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.422,0.312,0.082
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.25,0.289,0.235
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.245,0.138,0.059
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.022,0.09,0.157
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.024,0.008,0.109
"P20","En blanco",0.013,0.005,0.105
"P20","No sabe",0.024,0.158,0.253
"P26","Totalmente seguro",0.814,0.384,0.165
"P26","Bastante seguro",0.072,0.293,0.155
"P26","Algo seguro",0.057,0.102,0.53
"P26","Para nada seguro",0.057,0.221,0.15
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.547,0.247,0.146
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.286,0.356,0.29
"P28","En blanco",0.09,0.129,0.342
"P28","No sabe",0.077,0.268,0.222
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.345,0.234,0.123
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.253,0.14,0.232
"P29","En blanco",0.253,0.156,0.406
"P29","No sabe",0.149,0.47,0.239
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.486,0.32,0.034
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.317,0.425,0.263
"P30","En blanco",0.101,0.09,0.366
"P30","No sabe",0.096,0.165,0.337
"P38","Inflación",0.365,0.181,0.608
"P38","Desempleo",0.072,0.057,0.065
"P38","Corrupción",0.313,0.166,0.155
"P38","Inseguridad",0.109,0.297,0.159
"P38","Precio del dólar",0.032,0.118,0
"P38","Pobreza",0.06,0.053,0
"P38","Narcotráfico",0.006,0.118,0
"P38","Tarifas",0.005,0,0
"P38","Otro",0.028,0.01,0
"P38","No sabe",0.01,0,0.013
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.405,0.307,0.119
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.256,0.275,0.173
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.216,0.152,0.011
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.037,0.096,0.157
"GOBERNADOR","En blanco",0.062,0.013,0.287
"GOBERNADOR","No sabe",0.024,0.157,0.253
"CORTA_GOBERNADOR","Si",0.163,0.266,0.133
"CORTA_GOBERNADOR","No",0.837,0.734,0.867
"P10_imputada","Unión por la Patria",0.403,0.422,0.272
"P10_imputada","Juntos por el Cambio",0.268,0.095,0.128
"P10_imputada","De los liberales libertarios",0.226,0.216,0.009
"P10_imputada","De la Izquierda",0.062,0.065,0.286
"P10_imputada","Hacemos por nuestro país",0.013,0.005,0.109
"P10_imputada","Otro",0.021,0.031,0.139
"P10_imputada","En blanco",0.007,0.166,0.057
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.429,0.401,0.308
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.262,0.289,0.235
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.249,0.184,0.059
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.022,0.09,0.157
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.025,0.031,0.109
"P20_imputada","En blanco",0.013,0.005,0.132
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.415,0.354,0.157
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.262,0.322,0.223
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.221,0.175,0.014
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.038,0.107,0.208
"GOBERNADOR_imputada","En blanco",0.064,0.042,0.398
