"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco"
"P26","Totalmente seguro",0.852,0.792,0.871,0.552,0.434
"P26","Bastante seguro",0.078,0.1,0.046,0.182,0.119
"P26","Algo seguro",0.038,0.074,0.051,0.115,0.2
"P26","Para nada seguro",0.032,0.034,0.032,0.151,0.247
"P27","Tiene Decidido que va a ir a votar",0.956,0.933,0.964,0.817,0.877
"P27","Tiene dudas sobre si va a ir a  votar",0.038,0.053,0.035,0.106,0.027
"P27","Tiene Decidido que no va a ir a votar",0.006,0.014,0.001,0.077,0.096
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.88,0.241,0.277,0.402,0.376
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.083,0.697,0.272,0.246,0.226
"P28","En blanco",0.023,0.047,0.247,0.165,0.201
"P28","No sabe",0.014,0.015,0.204,0.187,0.197
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.225,0.718,0.155,0.191,0.206
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.152,0.711,0.274,0.149
"P29","En blanco",0.44,0.088,0.091,0.294,0.304
"P29","No sabe",0.259,0.042,0.043,0.241,0.341
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.822,0.219,0.205,0.355,0.334
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.085,0.409,0.711,0.176,0.222
"P30","En blanco",0.032,0.214,0.057,0.235,0.203
"P30","No sabe",0.061,0.158,0.027,0.234,0.241
"P38","Inflación",0.456,0.313,0.305,0.154,0.315
"P38","Desempleo",0.092,0.051,0.04,0.089,0.037
"P38","Corrupción",0.15,0.423,0.442,0.513,0.289
"P38","Inseguridad",0.094,0.146,0.092,0.071,0.163
"P38","Precio del dólar",0.061,0.003,0.026,0.035,0.08
"P38","Pobreza",0.078,0.044,0.035,0.044,0.084
"P38","Narcotráfico",0.007,0.007,0.031,0.012,0
"P38","Tarifas",0,0.01,0,0.011,0
"P38","Otro",0.05,0.002,0.02,0.006,0.026
"P38","No sabe",0.012,0.001,0.009,0.065,0.006
