"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P10","Unión por la Patria",0.758,0.064,0.107,0.048,0.105,0.172,0.154
"P10","Juntos por el Cambio",0.11,0.722,0.089,0.055,0.246,0.149,0.085
"P10","De los liberales libertarios",0.033,0.169,0.629,0.118,0.044,0,0.145
"P10","De la Izquierda",0.055,0.015,0.087,0.619,0.088,0,0.129
"P10","Hacemos por nuestro país",0.003,0.003,0.005,0,0.366,0,0
"P10","Otro",0.001,0.013,0.049,0.038,0.085,0.376,0.083
"P10","En blanco",0,0,0.006,0.122,0.066,0.167,0.072
"P10","No sabe",0.04,0.014,0.028,0,0,0.136,0.332
"P26","Totalmente seguro",0.838,0.806,0.826,0.571,0.532,0.106,0.11
"P26","Bastante seguro",0.077,0.091,0.068,0.159,0.104,0.273,0.123
"P26","Algo seguro",0.048,0.069,0.067,0.116,0.126,0.227,0.201
"P26","Para nada seguro",0.037,0.034,0.039,0.154,0.238,0.394,0.566
"P27","Tiene Decidido que va a ir a votar",0.959,0.925,0.967,0.731,0.897,0.834,0.634
"P27","Tiene dudas sobre si va a ir a  votar",0.037,0.056,0.028,0.156,0.016,0.016,0.219
"P27","Tiene Decidido que no va a ir a votar",0.004,0.019,0.005,0.113,0.087,0.15,0.147
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.932,0.169,0.232,0.494,0.35,0.289,0.36
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.043,0.777,0.299,0.207,0.139,0.076,0.086
"P28","En blanco",0.006,0.034,0.274,0.186,0.265,0.325,0.061
"P28","No sabe",0.019,0.02,0.195,0.113,0.246,0.31,0.493
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.237,0.79,0.103,0.07,0.138,0.034,0.188
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.037,0.127,0.773,0.257,0.048,0.312,0.083
"P29","En blanco",0.461,0.048,0.083,0.359,0.355,0.429,0.031
"P29","No sabe",0.265,0.035,0.041,0.314,0.459,0.225,0.698
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.88,0.179,0.129,0.337,0.368,0.276,0.352
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.032,0.394,0.818,0.027,0.105,0.266,0.126
"P30","En blanco",0.041,0.239,0.023,0.327,0.222,0.361,0.064
"P30","No sabe",0.047,0.188,0.03,0.309,0.305,0.097,0.458
"P38","Inflación",0.445,0.285,0.348,0.148,0.196,0.222,0.267
"P38","Desempleo",0.094,0.055,0.028,0.105,0.057,0,0.085
"P38","Corrupción",0.126,0.45,0.465,0.583,0.427,0.119,0.208
"P38","Inseguridad",0.102,0.132,0.097,0.025,0.172,0.294,0.353
"P38","Precio del dólar",0.068,0.002,0.013,0.058,0,0.216,0
"P38","Pobreza",0.09,0.033,0.023,0.059,0.125,0.114,0
"P38","Narcotráfico",0.007,0.027,0.003,0,0,0,0.019
"P38","Tarifas",0.001,0.01,0,0,0,0,0
"P38","Otro",0.047,0.005,0.016,0.01,0.023,0.035,0.068
"P38","No sabe",0.02,0.001,0.007,0.012,0,0,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.848,0.061,0.128,0,0,0,0
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.058,0.821,0.098,0,0,0,0
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.048,0.063,0.741,0,0,0,0
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.02,0.013,0.012,1,0,0,0
"GOBERNADOR","En blanco",0.026,0.042,0.021,0,1,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,0,1
"CORTA_GOBERNADOR","Si",0.194,0.236,0.335,0,0,0,0
"CORTA_GOBERNADOR","No",0.806,0.764,0.665,1,1,1,1
