"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.362,0.394,0.332,0.312,0.366,0.351,0.444,0.369,0.347,0.378,0.393,0.325,0.336,0.354,0.377,0.42,0.291,0.299,0.346,0.315
"Desempleo",0.071,0.058,0.084,0.074,0.09,0.039,0.066,0.075,0.09,0.032,0.099,0.035,0.025,0.064,0.085,0.098,0.128,0.038,0.097,0.01
"Corrupción",0.303,0.304,0.303,0.357,0.304,0.292,0.234,0.268,0.321,0.322,0.2,0.433,0.328,0.312,0.287,0.153,0.247,0.489,0.323,0.466
"Inseguridad",0.118,0.092,0.142,0.104,0.108,0.139,0.135,0.139,0.128,0.072,0.119,0.123,0.25,0.106,0.142,0.105,0.203,0.101,0.148,0.116
"Precio del dólar",0.034,0.047,0.023,0.048,0.032,0.02,0.04,0.038,0.032,0.033,0.052,0.01,0,0.034,0.036,0.07,0.045,0.005,0,0.012
"Pobreza",0.059,0.044,0.072,0.056,0.055,0.076,0.048,0.061,0.047,0.076,0.078,0.037,0.007,0.077,0.021,0.089,0.045,0.021,0.053,0.053
"Narcotráfico",0.011,0.019,0.004,0.025,0.005,0.001,0.016,0.02,0.002,0.013,0.006,0.018,0.042,0.005,0.023,0.005,0.011,0.029,0,0
"Tarifas",0.005,0.005,0.005,0,0.006,0.013,0,0.009,0.004,0.002,0.004,0.008,0,0.008,0,0.005,0,0.014,0,0
"Otro",0.027,0.025,0.028,0.019,0.026,0.048,0.011,0.01,0.023,0.057,0.036,0.01,0,0.027,0.026,0.042,0.021,0.004,0.033,0.021
"No sabe",0.01,0.012,0.007,0.005,0.008,0.021,0.006,0.011,0.006,0.015,0.013,0.001,0.012,0.013,0.003,0.013,0.009,0,0,0.007
