"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.396,0.383,0.408,0.36,0.44,0.363,0.392,0.405,0.4,0.373,0.644,0.136,0.192,0.416,0.355,0.704,0.553,0.07,0.329,0.117
"Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.252,0.209,0.292,0.215,0.198,0.337,0.327,0.282,0.219,0.269,0.105,0.506,0.336,0.24,0.277,0.106,0.191,0.693,0.419,0.137
"Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.21,0.299,0.127,0.269,0.24,0.16,0.108,0.186,0.227,0.214,0.135,0.253,0.246,0.196,0.238,0.1,0.115,0.142,0.122,0.664
"Gobernador y vicegobernador de la izquierda",0.041,0.024,0.058,0.043,0.048,0.037,0.029,0.031,0.055,0.034,0.034,0.017,0,0.047,0.032,0.008,0.079,0.015,0.024,0.036
"En blanco",0.066,0.054,0.077,0.056,0.052,0.079,0.1,0.064,0.066,0.068,0.059,0.065,0.226,0.076,0.045,0.058,0.044,0.065,0.074,0.037
"No sabe",0.035,0.031,0.038,0.057,0.022,0.024,0.044,0.032,0.033,0.042,0.023,0.023,0,0.025,0.053,0.024,0.018,0.015,0.032,0.009
