"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P06","Muy buena",0.314,0.069,0.102,0.089,0.102
"P06","Buena",0.259,0.139,0.041,0.054,0.047
"P06","Ni buena ni mala",0.252,0.17,0.289,0.265,0.377
"P06","Mala",0.08,0.185,0.243,0.139,0.16
"P06","Muy mala",0.054,0.407,0.283,0.42,0.232
"P06","No sabe",0.041,0.03,0.042,0.033,0.082
"P07","Muy buena",0.094,0.137,0.109,0.057,0.095
"P07","Buena",0.075,0.335,0.131,0.154,0.099
"P07","Ni buena ni mala",0.344,0.339,0.355,0.34,0.368
"P07","Mala",0.14,0.013,0.138,0.141,0.057
"P07","Muy mala",0.13,0.08,0.168,0.108,0.113
"P07","No sabe",0.217,0.096,0.099,0.2,0.268
"P08","Muy buena",0.263,0.024,0.111,0.051,0.105
"P08","Buena",0.191,0.108,0.08,0.043,0.122
"P08","Ni buena ni mala",0.346,0.242,0.32,0.266,0.262
"P08","Mala",0.073,0.176,0.111,0.153,0.132
"P08","Muy mala",0.066,0.411,0.264,0.356,0.211
"P08","No sabe",0.061,0.039,0.114,0.131,0.168
"P09","Muy buena",0.074,0.061,0.039,0.021,0.019
"P09","Buena",0.088,0.239,0.049,0.067,0.08
"P09","Ni buena ni mala",0.391,0.346,0.309,0.316,0.39
"P09","Mala",0.162,0.055,0.167,0.182,0.126
"P09","Muy mala",0.08,0.097,0.187,0.117,0.097
"P09","No sabe",0.205,0.202,0.249,0.297,0.288
"P10","Muy buena",0.109,0.036,0.087,0.075,0.041
"P10","Buena",0.144,0.178,0.135,0.066,0.083
"P10","Ni buena ni mala",0.264,0.282,0.234,0.31,0.355
"P10","Mala",0.234,0.191,0.147,0.159,0.204
"P10","Muy mala",0.171,0.262,0.283,0.274,0.14
"P10","No sabe",0.078,0.051,0.114,0.116,0.177
"P11","Muy buena",0.035,0.136,0.174,0.074,0.041
"P11","Buena",0.095,0.253,0.031,0.082,0.051
"P11","Ni buena ni mala",0.316,0.309,0.329,0.333,0.331
"P11","Mala",0.141,0.037,0.088,0.09,0.069
