"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.063,0.066,0.061,0.054,0.09,0.026,0.067,0.084,0.042,0.073,6
"Buena",0.124,0.144,0.105,0.076,0.131,0.156,0.155,0.153,0.087,0.151,6
"Ni buena ni mala",0.328,0.301,0.353,0.299,0.321,0.347,0.381,0.339,0.343,0.263,6
"Mala",0.228,0.252,0.205,0.19,0.25,0.27,0.177,0.208,0.249,0.22,6
"Muy mala",0.172,0.165,0.178,0.238,0.164,0.144,0.092,0.134,0.181,0.232,6
"No sabe",0.085,0.072,0.098,0.143,0.044,0.057,0.128,0.082,0.098,0.061,6
"Positiva",0.187,0.21,0.166,0.13,0.221,0.182,0.222,0.237,0.129,0.224,4
"Neutra",0.328,0.301,0.353,0.299,0.321,0.347,0.381,0.339,0.343,0.263,4
"Negativa",0.4,0.417,0.383,0.428,0.414,0.414,0.269,0.342,0.43,0.452,4
"No sabe",0.085,0.072,0.098,0.143,0.044,0.057,0.128,0.082,0.098,0.061,4
