"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.136,0.137,0.135,0.14,0.126,0.135,0.16,0.188,0.115,0.058,6
"Buena",0.104,0.118,0.091,0.057,0.128,0.124,0.115,0.11,0.097,0.109,6
"Ni buena ni mala",0.288,0.275,0.301,0.247,0.293,0.306,0.349,0.286,0.308,0.241,6
"Mala",0.129,0.128,0.129,0.096,0.148,0.144,0.122,0.128,0.128,0.132,6
"Muy mala",0.22,0.218,0.222,0.27,0.221,0.192,0.137,0.14,0.243,0.364,6
"No sabe",0.123,0.124,0.122,0.19,0.084,0.099,0.117,0.148,0.109,0.096,6
"Positiva",0.24,0.255,0.226,0.197,0.254,0.259,0.275,0.298,0.212,0.167,4
"Neutra",0.288,0.275,0.301,0.247,0.293,0.306,0.349,0.286,0.308,0.241,4
"Negativa",0.349,0.346,0.351,0.366,0.369,0.336,0.259,0.268,0.371,0.496,4
"No sabe",0.123,0.124,0.122,0.19,0.084,0.099,0.117,0.148,0.109,0.096,4
