"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.076,0.089,0.065,0.101,0.077,0.042,0.08,0.11,0.048,0.075,6
"Buena",0.132,0.185,0.082,0.102,0.11,0.173,0.197,0.161,0.118,0.103,6
"Ni buena ni mala",0.327,0.29,0.362,0.241,0.313,0.404,0.433,0.383,0.304,0.26,6
"Mala",0.223,0.214,0.231,0.179,0.282,0.21,0.162,0.189,0.26,0.201,6
"Muy mala",0.177,0.152,0.2,0.265,0.178,0.128,0.058,0.109,0.202,0.264,6
"No sabe",0.065,0.07,0.06,0.112,0.04,0.043,0.07,0.048,0.068,0.097,6
"Positiva",0.208,0.274,0.147,0.203,0.187,0.215,0.277,0.271,0.166,0.178,4
"Neutra",0.327,0.29,0.362,0.241,0.313,0.404,0.433,0.383,0.304,0.26,4
"Negativa",0.4,0.366,0.431,0.444,0.46,0.338,0.22,0.298,0.462,0.465,4
"No sabe",0.065,0.07,0.06,0.112,0.04,0.043,0.07,0.048,0.068,0.097,4
