"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"A Gustavo Menéndez",0.47,0.598,0.359,0.605,0.406,0.484,0.434,0.498,0.441,0.488
"A Karina Menéndez",0.151,0.158,0.146,0.109,0.142,0.164,0.213,0.135,0.19,0.094
"A Florencia Lizaraso",0.103,0.096,0.108,0.069,0.09,0.19,0.035,0.085,0.087,0.168
"No sabe",0.276,0.148,0.387,0.217,0.362,0.162,0.318,0.282,0.282,0.25
