"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.159,0.168,0.151,0.157,0.179,0.144,0.128,0.213,0.125,0.114,6
"Buena",0.127,0.117,0.136,0.085,0.128,0.152,0.186,0.132,0.127,0.112,6
"Ni buena ni mala",0.278,0.271,0.286,0.32,0.252,0.241,0.321,0.265,0.315,0.208,6
"Mala",0.148,0.144,0.151,0.087,0.159,0.218,0.145,0.146,0.143,0.163,6
"Muy mala",0.221,0.229,0.214,0.262,0.212,0.199,0.185,0.161,0.23,0.361,6
"No sabe",0.067,0.071,0.062,0.089,0.07,0.046,0.035,0.083,0.06,0.042,6
"Positiva",0.286,0.285,0.287,0.242,0.307,0.296,0.314,0.345,0.252,0.226,4
"Neutra",0.278,0.271,0.286,0.32,0.252,0.241,0.321,0.265,0.315,0.208,4
"Negativa",0.369,0.373,0.365,0.349,0.371,0.417,0.33,0.307,0.373,0.524,4
"No sabe",0.067,0.071,0.062,0.089,0.07,0.046,0.035,0.083,0.06,0.042,4
