"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.079,0.072,0.086,0.092,0.054,0.099,0.096,0.083,0.077,0.076,6
"Buena",0.101,0.099,0.103,0.112,0.11,0.071,0.099,0.092,0.105,0.113,6
"Ni buena ni mala",0.312,0.282,0.34,0.229,0.351,0.37,0.293,0.285,0.339,0.302,6
"Mala",0.087,0.108,0.067,0.11,0.071,0.084,0.085,0.08,0.079,0.126,6
"Muy mala",0.118,0.162,0.076,0.134,0.145,0.069,0.079,0.126,0.098,0.156,6
"No sabe",0.303,0.277,0.328,0.323,0.269,0.307,0.348,0.334,0.302,0.227,6
"Positiva",0.18,0.171,0.189,0.204,0.164,0.17,0.195,0.175,0.182,0.189,4
"Neutra",0.312,0.282,0.34,0.229,0.351,0.37,0.293,0.285,0.339,0.302,4
"Negativa",0.205,0.27,0.143,0.244,0.216,0.153,0.164,0.206,0.177,0.282,4
"No sabe",0.303,0.277,0.328,0.323,0.269,0.307,0.348,0.334,0.302,0.227,4
