"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.807,0.751,0.782,0.533,0.483,0.413,0.38
"P26","Bastante seguro",0.089,0.106,0.085,0.099,0.148,0.058,0.038
"P26","Algo seguro",0.057,0.074,0.074,0.103,0.143,0.29,0.056
"P26","Para nada seguro",0.047,0.069,0.059,0.265,0.226,0.239,0.526
"P27","Tiene Decidido que va a ir a votar",0.936,0.943,0.91,0.843,0.859,0.889,0.504
"P27","Tiene dudas sobre si va a ir a  votar",0.048,0.046,0.083,0.084,0.029,0.033,0.394
"P27","Tiene Decidido que no va a ir a votar",0.016,0.011,0.007,0.073,0.112,0.078,0.102
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.888,0.215,0.19,0.454,0.248,0.175,0.165
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.729,0.343,0.134,0.268,0.31,0.056
"P28","En blanco",0.028,0.028,0.261,0.166,0.205,0.154,0.573
"P28","No sabe",0.035,0.028,0.206,0.246,0.279,0.361,0.206
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.204,0.776,0.151,0.263,0.349,0.211,0.069
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.12,0.721,0.212,0.157,0.237,0.084
"P29","En blanco",0.465,0.048,0.052,0.28,0.252,0.104,0.53
"P29","No sabe",0.253,0.056,0.076,0.245,0.242,0.448,0.317
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.842,0.222,0.169,0.377,0.22,0.145,0.217
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.298,0.758,0.201,0.319,0.363,0.098
"P30","En blanco",0.048,0.27,0.041,0.173,0.314,0.196,0.418
"P30","No sabe",0.04,0.21,0.032,0.249,0.147,0.296,0.267
"P38","Inflación",0.429,0.296,0.343,0.387,0.22,0.208,0.105
"P38","Desempleo",0.103,0.074,0.048,0.096,0.041,0.08,0.026
"P38","Corrupción",0.11,0.426,0.392,0.318,0.439,0.412,0.44
"P38","Inseguridad",0.146,0.14,0.121,0.056,0.168,0.118,0.276
"P38","Precio del dólar",0.061,0.008,0.023,0.003,0,0.031,0
"P38","Pobreza",0.075,0.027,0.025,0.065,0.091,0.061,0.101
"P38","Narcotráfico",0.012,0.002,0.009,0.009,0.024,0.022,0.026
"P38","Tarifas",0.004,0.005,0.001,0,0,0,0
"P38","Otro",0.051,0.02,0.024,0.047,0.017,0.055,0.026
"P38","No sabe",0.009,0.002,0.014,0.019,0,0.013,0
