"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.412,0.386,0.435,0.377,0.442,0.425,0.377,0.411,0.409,0.419,0.66,0.153,0.152,0.442,0.35,0.734,0.496,0.054,0.272,0.118
"Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.263,0.228,0.295,0.228,0.208,0.324,0.371,0.284,0.241,0.275,0.124,0.503,0.426,0.246,0.298,0.121,0.221,0.739,0.424,0.12
"Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.215,0.287,0.149,0.289,0.233,0.143,0.148,0.202,0.233,0.197,0.13,0.269,0.228,0.194,0.257,0.084,0.178,0.143,0.135,0.675
"Gobernador y vicegobernador de la izquierda",0.043,0.036,0.051,0.056,0.05,0.024,0.034,0.037,0.049,0.042,0.033,0.018,0.052,0.047,0.037,0.021,0.054,0.009,0.073,0.023
"En blanco",0.067,0.063,0.07,0.05,0.067,0.084,0.07,0.066,0.068,0.067,0.053,0.057,0.142,0.071,0.058,0.04,0.051,0.055,0.096,0.064
