"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco"
"P26","Totalmente seguro",0.829,0.768,0.834,0.517,0.456
"P26","Bastante seguro",0.086,0.118,0.049,0.121,0.153
"P26","Algo seguro",0.046,0.07,0.08,0.146,0.145
"P26","Para nada seguro",0.039,0.044,0.037,0.216,0.246
"P27","Tiene Decidido que va a ir a votar",0.955,0.921,0.943,0.854,0.864
"P27","Tiene dudas sobre si va a ir a  votar",0.04,0.065,0.042,0.08,0.076
"P27","Tiene Decidido que no va a ir a votar",0.005,0.014,0.015,0.066,0.06
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.888,0.201,0.235,0.325,0.307
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.065,0.729,0.329,0.252,0.279
"P28","En blanco",0.025,0.04,0.264,0.142,0.205
"P28","No sabe",0.022,0.03,0.172,0.281,0.209
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.229,0.733,0.191,0.226,0.209
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.08,0.153,0.692,0.215,0.216
"P29","En blanco",0.447,0.069,0.07,0.305,0.278
"P29","No sabe",0.244,0.045,0.047,0.254,0.297
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.86,0.21,0.185,0.381,0.289
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.068,0.349,0.708,0.223,0.285
"P30","En blanco",0.037,0.257,0.063,0.222,0.221
"P30","No sabe",0.035,0.184,0.044,0.174,0.205
"P38","Inflación",0.457,0.327,0.318,0.197,0.252
"P38","Desempleo",0.083,0.062,0.064,0.131,0.062
"P38","Corrupción",0.123,0.408,0.396,0.397,0.345
"P38","Inseguridad",0.131,0.133,0.149,0.055,0.163
"P38","Precio del dólar",0.061,0.007,0.013,0.021,0.083
"P38","Pobreza",0.075,0.029,0.03,0.055,0.066
"P38","Narcotráfico",0.009,0.005,0.011,0.017,0.003
"P38","Tarifas",0.002,0.006,0,0.005,0
"P38","Otro",0.05,0.021,0.014,0.093,0.017
"P38","No sabe",0.009,0.002,0.005,0.029,0.009
