"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Totalmente seguro",0.751,0.783,0.723,0.718,0.752,0.765,0.788,0.753,0.744,0.762,0.76,0.801,0.563,0.762,0.729,0.831,0.655,0.786,0.604,0.769
"Bastante seguro",0.092,0.083,0.1,0.11,0.091,0.075,0.087,0.077,0.105,0.09,0.105,0.074,0.193,0.088,0.101,0.078,0.117,0.092,0.141,0.086
"Algo seguro",0.075,0.066,0.082,0.083,0.078,0.07,0.058,0.074,0.073,0.079,0.066,0.067,0.126,0.072,0.079,0.046,0.121,0.08,0.084,0.078
"Para nada seguro",0.082,0.068,0.095,0.089,0.079,0.09,0.067,0.096,0.078,0.069,0.069,0.058,0.118,0.078,0.091,0.045,0.107,0.042,0.171,0.067
