"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P10","Unión por la Patria",0.42,0.374,0.279,0.141
"P10","Juntos por el Cambio",0.265,0.294,0.238,0.202
"P10","De los liberales libertarios",0.233,0.207,0.216,0.108
"P10","De la Izquierda",0.038,0.059,0.071,0.146
"P10","Hacemos por nuestro país",0.009,0.022,0.027,0.032
"P10","Otro",0.012,0.014,0.071,0.065
"P10","En blanco",0.008,0.007,0.012,0.103
"P10","No sabe",0.015,0.023,0.086,0.203
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.466,0.385,0.323,0.241
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.252,0.307,0.219,0.15
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.234,0.166,0.269,0.129
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.021,0.036,0.07,0.092
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.015,0.046,0.048,0.055
"P20","En blanco",0.007,0.029,0.023,0.047
"P20","No sabe",0.005,0.031,0.048,0.286
"P27","Tiene Decidido que va a ir a votar",0.968,0.804,0.75,0.736
"P27","Tiene dudas sobre si va a ir a  votar",0.025,0.179,0.117,0.226
"P27","Tiene Decidido que no va a ir a votar",0.007,0.017,0.133,0.038
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.534,0.454,0.422,0.294
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.305,0.399,0.302,0.229
"P28","En blanco",0.1,0.07,0.082,0.131
"P28","No sabe",0.061,0.077,0.194,0.346
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.354,0.4,0.378,0.239
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.247,0.242,0.28,0.178
"P29","En blanco",0.269,0.173,0.139,0.137
"P29","No sabe",0.13,0.185,0.203,0.446
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.495,0.438,0.458,0.304
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.3,0.372,0.344,0.181
"P30","En blanco",0.125,0.123,0.095,0.111
"P30","No sabe",0.08,0.067,0.103,0.404
"P38","Inflación",0.379,0.39,0.318,0.197
"P38","Desempleo",0.066,0.125,0.148,0.118
"P38","Corrupción",0.276,0.276,0.277,0.331
"P38","Inseguridad",0.129,0.093,0.194,0.207
"P38","Precio del dólar",0.035,0.035,0.004,0.047
"P38","Pobreza",0.053,0.054,0.035,0.039
"P38","Narcotráfico",0.01,0.001,0.004,0.014
"P38","Tarifas",0.004,0.003,0,0
"P38","Otro",0.042,0.009,0.013,0.02
"P38","No sabe",0.006,0.014,0.007,0.027
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.437,0.369,0.253,0.195
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.261,0.328,0.248,0.139
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.231,0.111,0.234,0.098
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.028,0.055,0.087,0.109
