"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.485,0.522,0.154,0.435,0.755,0.612,0.446,0.545,0.598,0.427
"P10","Juntos por el Cambio",0.213,0.231,0.405,0.277,0.063,0.142,0.063,0.386,0.148,0.059
"P10","De los liberales libertarios",0.207,0.12,0.308,0.189,0.152,0.108,0.229,0.069,0.142,0.15
"P10","De la Izquierda",0.049,0.053,0.046,0.018,0.004,0.06,0.05,0,0.062,0.107
"P10","Hacemos por nuestro país",0.007,0.006,0.017,0.014,0,0.02,0.029,0,0.005,0
"P10","Otro",0.007,0.017,0.026,0.015,0.016,0.021,0.043,0,0.027,0.028
"P10","En blanco",0.002,0.003,0.016,0.02,0,0.02,0.029,0,0,0
"P10","No sabe",0.03,0.048,0.028,0.032,0.01,0.017,0.111,0,0.018,0.229
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.548,0.493,0.162,0.451,0.771,0.674,0.461,0.434,0.593,0.748
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.212,0.215,0.414,0.246,0.06,0.14,0.327,0.566,0.168,0.056
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.197,0.163,0.303,0.209,0.037,0.083,0.026,0,0.075,0.156
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.015,0.053,0.043,0.007,0.026,0.042,0.049,0,0.112,0.02
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.022,0.03,0.019,0.071,0.036,0,0,0.005,0.02
"P20","En blanco",0.004,0.007,0.016,0.011,0.025,0.022,0,0,0.004,0
"P20","No sabe",0.013,0.047,0.032,0.057,0.01,0.003,0.137,0,0.043,0
"P26","Totalmente seguro",0.805,0.631,0.759,0.731,0.797,0.802,0.846,0.931,0.914,0.567
"P26","Bastante seguro",0.095,0.137,0.088,0.061,0.093,0.095,0.014,0.069,0.022,0.147
"P26","Algo seguro",0.061,0.128,0.069,0.099,0.009,0.048,0.029,0,0.025,0.057
"P26","Para nada seguro",0.039,0.104,0.084,0.109,0.101,0.055,0.111,0,0.039,0.229
"P27","Tiene Decidido que va a ir a votar",0.947,0.938,0.936,0.873,0.914,0.964,0.624,0.931,0.967,0.758
"P27","Tiene dudas sobre si va a ir a  votar",0.034,0.048,0.049,0.106,0.086,0.019,0.327,0.069,0.022,0.229
"P27","Tiene Decidido que no va a ir a votar",0.019,0.014,0.015,0.021,0,0.017,0.049,0,0.011,0.013
