"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P10","Unión por la Patria",0.731,0.079,0.128,0.119,0.118,0.152,0.134
"P10","Juntos por el Cambio",0.116,0.753,0.101,0.045,0.145,0.12,0.076
"P10","De los liberales libertarios",0.074,0.126,0.647,0.147,0.129,0.032,0.083
"P10","De la Izquierda",0.032,0.012,0.051,0.533,0.058,0,0.121
"P10","Hacemos por nuestro país",0.006,0.004,0.007,0,0.409,0,0.004
"P10","Otro",0.003,0.009,0.024,0.107,0.093,0.289,0.099
"P10","En blanco",0.006,0.005,0.009,0.049,0.03,0.305,0.087
"P10","No sabe",0.032,0.012,0.033,0,0.018,0.102,0.396
"P26","Totalmente seguro",0.819,0.772,0.797,0.51,0.481,0.405,0.105
"P26","Bastante seguro",0.083,0.116,0.07,0.104,0.184,0.196,0.089
"P26","Algo seguro",0.054,0.064,0.087,0.157,0.148,0.122,0.106
"P26","Para nada seguro",0.044,0.048,0.046,0.229,0.187,0.277,0.7
"P27","Tiene Decidido que va a ir a votar",0.946,0.924,0.955,0.821,0.848,0.838,0.626
"P27","Tiene dudas sobre si va a ir a  votar",0.048,0.052,0.038,0.101,0.107,0.033,0.283
"P27","Tiene Decidido que no va a ir a votar",0.006,0.024,0.007,0.078,0.045,0.129,0.091
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.905,0.148,0.186,0.319,0.305,0.154,0.246
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.054,0.798,0.331,0.224,0.281,0.091,0.101
"P28","En blanco",0.014,0.032,0.293,0.15,0.163,0.563,0.11
"P28","No sabe",0.027,0.022,0.19,0.307,0.251,0.192,0.543
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.245,0.8,0.122,0.173,0.204,0.05,0.133
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.129,0.763,0.212,0.184,0.258,0.083
"P29","En blanco",0.445,0.041,0.069,0.302,0.243,0.508,0.084
"P29","No sabe",0.246,0.03,0.046,0.313,0.369,0.184,0.7
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.88,0.173,0.119,0.337,0.322,0.119,0.22
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.042,0.329,0.818,0.18,0.251,0.276,0.176
"P30","En blanco",0.045,0.287,0.027,0.272,0.216,0.513,0.082
"P30","No sabe",0.033,0.211,0.036,0.211,0.211,0.092,0.522
"P38","Inflación",0.457,0.292,0.346,0.182,0.185,0.143,0.169
"P38","Desempleo",0.085,0.061,0.059,0.132,0.078,0.054,0.125
"P38","Corrupción",0.105,0.444,0.412,0.404,0.397,0.445,0.317
"P38","Inseguridad",0.142,0.128,0.138,0.033,0.124,0.146,0.274
"P38","Precio del dólar",0.061,0.008,0.006,0.029,0.116,0.086,0.013
"P38","Pobreza",0.078,0.027,0.02,0.07,0.086,0.111,0.005
"P38","Narcotráfico",0.01,0.011,0.001,0.015,0,0,0.045
"P38","Tarifas",0.003,0.006,0,0,0,0,0
"P38","Otro",0.047,0.022,0.013,0.13,0.008,0.015,0.052
"P38","No sabe",0.012,0.001,0.005,0.005,0.006,0,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.846,0.06,0.089,0,0,0,0
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.067,0.835,0.096,0,0,0,0
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.053,0.065,0.772,0,0,0,0
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.012,0.01,0.007,1,0,0,0
"GOBERNADOR","En blanco",0.022,0.03,0.036,0,1,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,0,1
"CORTA_GOBERNADOR","Si",0.203,0.221,0.292,0,0,0,0
"CORTA_GOBERNADOR","No",0.797,0.779,0.708,1,1,1,1
