"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"La nación",0.345,0.352,0.338,0.337,0.359,0.353,0.313,0.318,0.349,0.37,0.313,0.198,0.308,0.436
"La provincia",0.295,0.306,0.285,0.3,0.278,0.315,0.299,0.255,0.303,0.328,0.294,0.446,0.443,0.213
"El municipio",0.268,0.262,0.274,0.287,0.285,0.234,0.252,0.261,0.289,0.247,0.294,0.282,0.215,0.248
"No sabe",0.092,0.08,0.103,0.076,0.078,0.098,0.136,0.166,0.059,0.055,0.099,0.074,0.034,0.103
