"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"La nación",0.436,0.48,0.394,0.417,0.455,0.435,0.415,0.369,0.475,0.458,0.417,0.361,0.548,0.466
"La provincia",0.335,0.331,0.34,0.297,0.328,0.376,0.341,0.363,0.302,0.349,0.36,0.442,0.344,0.271
"El municipio",0.117,0.11,0.124,0.172,0.104,0.094,0.115,0.109,0.115,0.129,0.119,0.116,0.068,0.123
"No sabe",0.112,0.079,0.142,0.114,0.113,0.095,0.129,0.159,0.108,0.064,0.104,0.081,0.04,0.14
