"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Mucho",0.711,0.672,0.748,0.729,0.714,0.717,0.675,0.653,0.727,0.755,0.737,0.723,0.832,0.67
"Algo",0.181,0.219,0.144,0.161,0.185,0.185,0.189,0.196,0.171,0.176,0.142,0.211,0.123,0.207
"Poco",0.067,0.073,0.062,0.056,0.068,0.065,0.083,0.09,0.072,0.036,0.072,0.053,0.036,0.073
"Nada",0.041,0.036,0.046,0.054,0.033,0.033,0.053,0.061,0.03,0.033,0.049,0.013,0.009,0.05
