"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Si",0.695,0.693,0.697,0.655,0.745,0.718,0.602,0.631,0.7,0.761,0.69,0.644,0.867,0.695
"No",0.145,0.171,0.12,0.188,0.134,0.112,0.162,0.172,0.16,0.095,0.162,0.162,0.085,0.133
"No sabe",0.16,0.136,0.183,0.157,0.121,0.17,0.236,0.197,0.14,0.144,0.148,0.194,0.048,0.172
