"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Si",0.182,0.18,0.183,0.22,0.161,0.181,0.185,0.209,0.131,0.22,0.194,0.164,0.191,0.178
"No",0.818,0.82,0.817,0.78,0.839,0.819,0.815,0.791,0.869,0.78,0.806,0.836,0.809,0.822
