"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.497,0.034,0.065,0.188,0.159
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.261,0.027,0.02,0.118,0.066
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.007,0.01,0.456,0.053,0.065
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.013,0.004,0.004,0.342,0.056
"P17","A Luis Zamora por Autodeterminación y Libertad",0.025,0.015,0.017,0.114,0.11
"P17","En blanco",0.001,0.009,0.009,0.012,0.051
"P17","No sabe",0.016,0.016,0.008,0.006,0.103
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.502,0.052,0.041,0.185,0.125
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.288,0.039,0.048,0.092,0.048
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.056,0.538,0.136,0.032,0.186
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.064,0.245,0.157,0.039,0.23
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.03,0.045,0.492,0.015,0.077
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.011,0.002,0.064,0.319,0.03
"P18","A Luis Zamora por Autodeterminación y Libertad",0.025,0.006,0.007,0.182,0.075
"P18","En blanco",0.009,0.029,0.039,0.034,0.11
"P18","No sabe",0.015,0.044,0.016,0.102,0.119
"P19","A Martín Lousteau por Juntos por el Cambio",0.077,0.591,0.154,0.133,0.33
