"var","categoria","María Eugenia Vidal por Juntos por el Cambio","Martín Lousteau por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.211,0.169,0.174,0.168,0.106,0.161,0.142,0.127
"P04","Casi siempre",0.422,0.465,0.415,0.394,0.431,0.391,0.392,0.361
"P04","Casi nunca",0.299,0.297,0.338,0.316,0.355,0.409,0.39,0.398
"P04","Nunca, pero esta es una excepción",0.068,0.069,0.073,0.122,0.108,0.039,0.076,0.114
"P06","Del Frente de Todos y el peronismo",0.08,0.137,0.781,0.031,0.159,0.288,0.146,0.164
"P06","De Cambiemos",0.743,0.619,0.098,0.1,0.027,0.056,0.283,0.309
"P06","De los Liberales libertarios",0.108,0.133,0.032,0.816,0.075,0.083,0.159,0.144
"P06","De la Izquierda",0.014,0.016,0.037,0.017,0.644,0.372,0.063,0.018
"P06","No sabe",0.055,0.095,0.052,0.036,0.095,0.201,0.349,0.365
"P07","A Daniel Scioli",0.572,0.181,0.112,0.187,0.035,0.078,0.143,0.142
"P07","A Sergio Massa",0.097,0.424,0.193,0.069,0.283,0.124,0.052,0.284
"P07","A algún candidato del peronismo",0.159,0.163,0.067,0.594,0.188,0.139,0.129,0.076
"P07","A algún candidato del kirchnerismo",0.172,0.232,0.628,0.15,0.494,0.659,0.676,0.498
"P08","A Daniel Scioli",0.082,0.144,0.092,0.187,0,0,0.091,0.037
"P08","A Sergio Massa",0.226,0.366,0.119,0.069,0.229,0.08,0.052,0.174
"P08","A algún candidato del peronismo",0.17,0.128,0.062,0.633,0.231,0.074,0.099,0.157
"P08","A Cristina Fernández de Kirchner",0.522,0.362,0.727,0.111,0.54,0.846,0.758,0.632
"P09","A Horacio Rodriguez Larreta",0.289,0.379,0.265,0.016,0.777,0.158,0.319,0.106
"P09","A Patricia Bullrich",0.676,0.495,0.577,0.882,0,0.104,0.641,0.785
"P09","A Facundo Manes",0.019,0.048,0.138,0.02,0.223,0.365,0.027,0.061
"P09","A Gerardo Morales",0.016,0.078,0.02,0.082,0,0.373,0.013,0.048
"P10","Leandro Santoro por el Frente de Todos",0.084,0.072,0.823,0.005,0.077,0.043,0.022,0.024
"P10","Jorge Macri por Juntos por el Cambio",0.639,0.243,0.048,0.154,0.042,0.03,0.23,0.198
"P10","Martín Lousteau por Juntos por el Cambio",0.17,0.641,0.063,0.008,0.029,0.014,0.018,0.021
"P10","Ramiro Marra por La Libertad Avanza",0.03,0.011,0.004,0.785,0,0.007,0.048,0.02
"P10","Al candidato del Frente de Izquierda",0.003,0.003,0.009,0.001,0.781,0.036,0.005,0.016
"P10","A Luis Zamora por Autodeterminación y Libertad",0.005,0.004,0.009,0.005,0.015,0.749,0.006,0.008
"P10","En blanco",0.017,0.006,0.013,0.014,0,0.017,0.503,0.06
"P10","No sabe",0.052,0.02,0.031,0.028,0.056,0.104,0.168,0.653
"P12","A Jorge Macri por Juntos por el Cambio",0.502,0.187,0.032,0.109,0.03,0.031,0.235,0.18
"P12","A Martín Lousteau por Juntos por el Cambio",0.136,0.549,0.043,0.025,0.027,0.006,0.025,0.022
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.192,0.117,0.069,0.161,0.101,0.056,0.1,0.173
"P12","A Leandro Santoro por el Frente de Todos",0.056,0.05,0.728,0.033,0.043,0.056,0.009,0.016
"P12","A Matías Lammens por el Frente de Todos",0.045,0.057,0.099,0.003,0.138,0.047,0.01,0.016
"P12","A Ramiro Marra por La Libertad Avanza",0.02,0.009,0,0.612,0.01,0.141,0.024,0.02
"P12","Al candidato del Frente de Izquierda",0,0.006,0.001,0.011,0.57,0.03,0.069,0.007
"P12","A Luis Zamora por Autodeterminación y Libertad",0.005,0.002,0.006,0.003,0.031,0.613,0.046,0.144
"P12","En blanco",0.012,0.006,0.008,0.016,0.023,0.011,0.429,0.029
"P12","No sabe",0.032,0.017,0.014,0.027,0.027,0.009,0.053,0.393
"P13","A Martín Lousteau por Juntos por el Cambio",0.161,0.524,0.051,0.02,0.027,0.022,0.033,0.02
"P13","A Jorge Macri por Juntos por el Cambio",0.443,0.17,0.097,0.088,0.049,0,0.216,0.204
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.218,0.117,0.018,0.169,0.021,0.026,0.105,0.186
"P13","A Leandro Santoro por el Frente de Todos",0.064,0.101,0.679,0.019,0.031,0.046,0.022,0.035
"P13","A Pedro Rosemblat por el Frente de Todos",0.06,0.057,0.122,0.016,0.064,0.082,0.031,0.053
"P13","A Ramiro Marra por La Libertad Avanza",0.01,0.006,0.003,0.659,0.005,0.034,0.026,0.027
"P13","Al candidato del Frente de Izquierda",0.002,0.003,0.005,0.002,0.742,0.076,0.042,0.011
"P13","A Luis Zamora por Autodeterminación y Libertad",0.009,0.003,0.003,0.012,0.028,0.689,0.051,0.094
"P13","En blanco",0.006,0.004,0.007,0.001,0,0,0.395,0.019
"P13","No sabe",0.027,0.015,0.015,0.014,0.033,0.025,0.079,0.351
"P14","A Leandro Santoro por el Frente de Todos",0.082,0.081,0.701,0.029,0.062,0.065,0.016,0.036
"P14","A Pedro Rosemblat por el Frente de Todos",0.041,0.065,0.146,0.022,0.07,0.005,0.023,0.069
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.67,0.14,0.058,0.047,0.022,0.016,0.074,0.103
"P14","A Martín Lousteau por Juntos por el Cambio",0.116,0.635,0.06,0.021,0.024,0.118,0.031,0.059
"P14","A Ramiro Marra por La Libertad Avanza",0.023,0.029,0.018,0.745,0.022,0.021,0.087,0.036
"P14","Al candidato del Frente de Izquierda",0.007,0.002,0.002,0.087,0.518,0.027,0.024,0.024
