"var","categoria","Si","No"
"P04","Siempre",0.25,0.13
"P04","Casi siempre",0.504,0.419
"P04","Casi nunca",0.208,0.354
"P04","Nunca, pero esta es una excepción",0.038,0.097
"P06","Del Frente de Todos y el peronismo",0.317,0.308
"P06","De Cambiemos",0.426,0.398
"P06","De los Liberales libertarios",0.152,0.172
"P06","De la Izquierda",0.052,0.039
"P06","No sabe",0.053,0.083
"P07","A Daniel Scioli",0.153,0.152
"P07","A Sergio Massa",0.194,0.231
"P07","A algún candidato del peronismo",0.078,0.074
"P07","A algún candidato del kirchnerismo",0.575,0.543
"P08","A Daniel Scioli",0.069,0.104
"P08","A Sergio Massa",0.144,0.139
"P08","A algún candidato del peronismo",0.089,0.077
"P08","A Cristina Fernández de Kirchner",0.698,0.68
"P09","A Horacio Rodriguez Larreta",0.27,0.255
"P09","A Patricia Bullrich",0.652,0.667
"P09","A Facundo Manes",0.035,0.053
"P09","A Gerardo Morales",0.043,0.025
"P10","Leandro Santoro por el Frente de Todos",0.273,0.279
"P10","Jorge Macri por Juntos por el Cambio",0.295,0.288
"P10","Martín Lousteau por Juntos por el Cambio",0.196,0.167
"P10","Ramiro Marra por La Libertad Avanza",0.099,0.108
"P10","Al candidato del Frente de Izquierda",0.03,0.029
"P10","A Luis Zamora por Autodeterminación y Libertad",0.021,0.028
"P10","En blanco",0.025,0.028
"P10","No sabe",0.061,0.073
"P11","María Eugenia Vidal por Juntos por el Cambio",0.253,0.224
"P11","Martín Lousteau por Juntos por el Cambio",0.221,0.183
"P11","Leandro Santoro por el Frente de Todos",0.276,0.295
"P11","Ramiro Marra por La Libertad Avanza",0.111,0.125
"P11","Al candidato del Frente de Izquierda",0.03,0.017
"P11","A Luis Zamora por Autodeterminación y Libertad",0.017,0.024
"P11","En blanco",0.02,0.04
"P11","No sabe",0.072,0.092
"P12","A Jorge Macri por Juntos por el Cambio",0.22,0.23
"P12","A Martín Lousteau por Juntos por el Cambio",0.154,0.142
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.155,0.137
"P12","A Leandro Santoro por el Frente de Todos",0.243,0.245
"P12","A Matías Lammens por el Frente de Todos",0.053,0.058
"P12","A Ramiro Marra por La Libertad Avanza",0.089,0.083
"P12","Al candidato del Frente de Izquierda",0.021,0.023
"P12","A Luis Zamora por Autodeterminación y Libertad",0.016,0.024
"P12","En blanco",0.016,0.027
"P12","No sabe",0.033,0.031
"P13","A Martín Lousteau por Juntos por el Cambio",0.165,0.148
"P13","A Jorge Macri por Juntos por el Cambio",0.219,0.23
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.142,0.129
"P13","A Leandro Santoro por el Frente de Todos",0.234,0.224
"P13","A Pedro Rosemblat por el Frente de Todos",0.073,0.079
"P13","A Ramiro Marra por La Libertad Avanza",0.085,0.084
"P13","Al candidato del Frente de Izquierda",0.029,0.022
"P13","A Luis Zamora por Autodeterminación y Libertad",0.017,0.03
"P13","En blanco",0.008,0.021
"P13","No sabe",0.028,0.033
"P14","A Leandro Santoro por el Frente de Todos",0.241,0.239
"P14","A Pedro Rosemblat por el Frente de Todos",0.075,0.09
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.243,0.202
"P14","A Martín Lousteau por Juntos por el Cambio",0.198,0.173
"P14","A Ramiro Marra por La Libertad Avanza",0.114,0.113
"P14","Al candidato del Frente de Izquierda",0.029,0.035
"P14","A Luis Zamora por Autodeterminación y Libertad",0.025,0.024
"P14","En blanco",0.031,0.052
"P14","No sabe",0.044,0.072
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.29,0.29
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.313,0.3
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.175,0.152
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.102,0.135
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.049,0.026
"P15","A Luis Zamora por Autodeterminación y Libertad",0.023,0.025
"P15","En blanco",0.015,0.02
"P15","No sabe",0.033,0.052
