"var","categoria","A Leandro Santoro por el Frente de Todos","A María Eugenia Vidal por Juntos por el Cambio","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.16,0.214,0.217,0.226,0.137,0.198,0.151
"P04","Casi siempre",0.447,0.48,0.406,0.339,0.461,0.472,0.499
"P04","Casi nunca",0.307,0.243,0.294,0.397,0.37,0.267,0.305
"P04","Nunca, pero esta es una excepción",0.086,0.063,0.083,0.038,0.032,0.063,0.045
"P06","Del Frente de Todos y el peronismo",0.782,0.068,0.113,0.237,0.291,0.115,0.109
"P06","De Cambiemos",0.103,0.791,0.203,0.037,0.137,0.462,0.466
"P06","De los Liberales libertarios",0.032,0.099,0.641,0.133,0.181,0.192,0.168
"P06","De la Izquierda",0.038,0.013,0.009,0.505,0.269,0.026,0.022
"P06","No sabe",0.045,0.029,0.034,0.088,0.122,0.205,0.235
"P07","A Daniel Scioli",0.115,0.314,0.319,0.245,0,0.089,0.138
"P07","A Sergio Massa",0.223,0.283,0.09,0.443,0.12,0.133,0.314
"P07","A algún candidato del peronismo",0.054,0.205,0.328,0.03,0.068,0.098,0.152
"P07","A algún candidato del kirchnerismo",0.608,0.198,0.263,0.282,0.812,0.68,0.396
"P08","A Daniel Scioli",0.078,0.119,0.288,0.022,0,0,0.056
"P08","A Sergio Massa",0.142,0.27,0.057,0.37,0.052,0.573,0.167
"P08","A algún candidato del peronismo",0.057,0.262,0.326,0.081,0.091,0.097,0.1
"P08","A Cristina Fernández de Kirchner",0.723,0.349,0.329,0.527,0.857,0.33,0.677
"P09","A Horacio Rodriguez Larreta",0.357,0.268,0.195,0.316,0.232,0.227,0.349
"P09","A Patricia Bullrich",0.315,0.686,0.702,0.498,0.277,0.645,0.587
"P09","A Facundo Manes",0.3,0.017,0.051,0,0.244,0.065,0.014
"P09","A Gerardo Morales",0.028,0.029,0.052,0.186,0.247,0.063,0.05
"P10","Leandro Santoro por el Frente de Todos",0.775,0.062,0.052,0.033,0.142,0.019,0.043
"P10","Jorge Macri por Juntos por el Cambio",0.039,0.557,0.199,0.102,0.117,0.338,0.207
"P10","Martín Lousteau por Juntos por el Cambio",0.076,0.3,0.066,0.119,0.135,0.284,0.293
"P10","Ramiro Marra por La Libertad Avanza",0.024,0.021,0.612,0.052,0.045,0.016,0.015
"P10","Al candidato del Frente de Izquierda",0.008,0.002,0.002,0.595,0.033,0.047,0.037
"P10","A Luis Zamora por Autodeterminación y Libertad",0.013,0.002,0.005,0.043,0.453,0.02,0.006
"P10","En blanco",0.023,0.018,0.031,0.026,0.021,0.175,0.022
"P10","No sabe",0.042,0.038,0.033,0.03,0.054,0.101,0.377
"P11","María Eugenia Vidal por Juntos por el Cambio",0.093,0.52,0.053,0.013,0.052,0.112,0.151
"P11","Martín Lousteau por Juntos por el Cambio",0.1,0.317,0.109,0.135,0.111,0.306,0.258
"P11","Leandro Santoro por el Frente de Todos",0.749,0.072,0.082,0.037,0.074,0.077,0.044
"P11","Ramiro Marra por La Libertad Avanza",0.009,0.036,0.665,0.124,0.117,0.03,0.05
"P11","Al candidato del Frente de Izquierda",0.006,0.001,0.003,0.574,0.11,0,0.008
