"var","categoria","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P09","A Facundo Manes",0.41,0.007,0.036,0.028,0.238,0.386,0.049,0.118
"P09","A Gerardo Morales",0.07,0.013,0.08,0.06,0,0.19,0.143,0.053
"P10","Leandro Santoro por el Frente de Todos",0.829,0.02,0.046,0.033,0.063,0.077,0.071,0.052
"P10","Jorge Macri por Juntos por el Cambio",0.01,0.783,0.126,0.102,0.061,0.03,0.034,0.065
"P10","Martín Lousteau por Juntos por el Cambio",0.041,0.114,0.746,0.095,0.039,0.014,0.028,0.036
"P10","Ramiro Marra por La Libertad Avanza",0.011,0.024,0.004,0.66,0.294,0.089,0.035,0.018
"P10","Al candidato del Frente de Izquierda",0.015,0.003,0.004,0.008,0.371,0.148,0.092,0.036
"P10","A Luis Zamora por Autodeterminación y Libertad",0.015,0.004,0.003,0.004,0.083,0.545,0.1,0.011
"P10","En blanco",0.021,0.008,0.027,0.043,0.049,0.063,0.394,0.122
"P10","No sabe",0.058,0.044,0.044,0.055,0.04,0.034,0.246,0.66
"P11","María Eugenia Vidal por Juntos por el Cambio",0.067,0.549,0.212,0.04,0.09,0.059,0.121,0.102
"P11","Martín Lousteau por Juntos por el Cambio",0.06,0.19,0.662,0.085,0.026,0.016,0.046,0.065
"P11","Leandro Santoro por el Frente de Todos",0.793,0.05,0.069,0.055,0.102,0.076,0.066,0.042
"P11","Ramiro Marra por La Libertad Avanza",0.004,0.063,0.003,0.726,0.253,0.1,0.051,0.016
"P11","Al candidato del Frente de Izquierda",0.006,0.006,0,0.013,0.428,0.146,0.109,0.011
"P11","A Luis Zamora por Autodeterminación y Libertad",0.017,0.003,0.006,0.002,0.036,0.504,0.086,0.013
"P11","En blanco",0.014,0.034,0.034,0.038,0.051,0.037,0.354,0.112
"P11","No sabe",0.039,0.105,0.014,0.041,0.014,0.062,0.167,0.639
"P12","A Jorge Macri por Juntos por el Cambio",0.016,0.605,0.091,0.098,0.022,0.023,0.005,0.033
