"var","categoria","A Leandro Santoro por el Frente de Todos","A Pedro Rosemblat por el Frente de Todos","A María Eugenia Vidal por Juntos por el Cambio","A Martín Lousteau por Juntos por el Cambio","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.169,0.157,0.225,0.182,0.18,0.159,0.112,0.171,0.156
"P04","Casi siempre",0.429,0.456,0.413,0.459,0.392,0.355,0.378,0.416,0.392
"P04","Casi nunca",0.335,0.304,0.294,0.296,0.338,0.376,0.353,0.337,0.368
"P04","Nunca, pero esta es una excepción",0.067,0.083,0.068,0.063,0.09,0.11,0.157,0.076,0.084
"P06","Del Frente de Todos y el peronismo",0.78,0.673,0.059,0.113,0.08,0.084,0.317,0.083,0.103
"P06","De Cambiemos",0.088,0.234,0.76,0.64,0.138,0.031,0.074,0.387,0.412
"P06","De los Liberales libertarios",0.038,0.045,0.109,0.134,0.74,0.412,0.128,0.191,0.115
"P06","De la Izquierda",0.045,0.01,0.008,0.028,0.001,0.399,0.358,0.069,0.036
"P06","No sabe",0.049,0.038,0.064,0.085,0.041,0.074,0.123,0.27,0.334
"P07","A Daniel Scioli",0.141,0.115,0.318,0.186,0.225,0.105,0.036,0.236,0.084
"P07","A Sergio Massa",0.193,0.154,0.186,0.464,0.282,0.155,0.273,0.292,0.273
"P07","A algún candidato del peronismo",0.077,0.019,0.225,0.124,0.375,0.177,0.11,0,0.133
"P07","A algún candidato del kirchnerismo",0.589,0.712,0.271,0.226,0.118,0.563,0.581,0.472,0.51
"P08","A Daniel Scioli",0.08,0.084,0.163,0.113,0.175,0,0,0,0.016
"P08","A Sergio Massa",0.13,0.138,0.114,0.406,0.241,0.155,0.073,0.265,0.165
"P08","A algún candidato del peronismo",0.066,0.013,0.274,0.172,0.424,0.361,0.284,0,0.104
"P08","A Cristina Fernández de Kirchner",0.724,0.765,0.449,0.309,0.16,0.484,0.643,0.735,0.715
"P09","A Horacio Rodriguez Larreta",0.298,0.4,0.255,0.375,0.185,0.266,0,0.142,0.198
"P09","A Patricia Bullrich",0.424,0.584,0.71,0.509,0.744,0.734,0.495,0.754,0.732
"P09","A Facundo Manes",0.225,0.007,0.016,0.043,0,0,0.289,0.081,0.042
