"var","categoria","A Martín Lousteau por Juntos por el Cambio","A Jorge Macri por Juntos por el Cambio","A Ricardo López Murphy por Juntos por el Cambio","A Leandro Santoro por el Frente de Todos","A Pedro Rosemblat por el Frente de Todos","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.169,0.216,0.2,0.178,0.143,0.169,0.117,0.122,0.158,0.16
"P04","Casi siempre",0.448,0.439,0.403,0.408,0.475,0.369,0.419,0.365,0.322,0.385
"P04","Casi nunca",0.305,0.283,0.322,0.346,0.324,0.345,0.375,0.36,0.415,0.339
"P04","Nunca, pero esta es una excepción",0.078,0.062,0.075,0.068,0.058,0.117,0.089,0.153,0.105,0.116
"P06","Del Frente de Todos y el peronismo",0.092,0.084,0.056,0.812,0.667,0.028,0.149,0.211,0.244,0.171
"P06","De Cambiemos",0.654,0.745,0.668,0.059,0.202,0.045,0.013,0.058,0.082,0.159
"P06","De los Liberales libertarios",0.153,0.099,0.229,0.035,0.036,0.898,0.066,0.171,0.211,0.047
"P06","De la Izquierda",0.011,0.019,0.002,0.037,0.05,0.014,0.691,0.265,0.085,0.018
"P06","No sabe",0.09,0.053,0.045,0.057,0.045,0.015,0.081,0.295,0.378,0.605
"P07","A Daniel Scioli",0.123,0.23,0.27,0.15,0.122,0.338,0.138,0.088,0.057,0.051
"P07","A Sergio Massa",0.514,0.352,0.133,0.178,0.194,0.21,0.223,0.206,0.04,0.379
"P07","A algún candidato del peronismo",0.235,0.118,0.49,0.072,0.029,0.351,0.207,0.05,0.163,0.094
"P07","A algún candidato del kirchnerismo",0.128,0.3,0.107,0.6,0.655,0.101,0.432,0.656,0.74,0.476
"P08","A Daniel Scioli",0.11,0.221,0.23,0.079,0.061,0.439,0.06,0,0.057,0
"P08","A Sergio Massa",0.415,0.074,0.112,0.133,0.156,0.127,0.109,0.202,0,0.294
"P08","A algún candidato del peronismo",0.198,0.245,0.595,0.063,0.021,0.25,0.267,0.047,0.127,0.059
"P08","A Cristina Fernández de Kirchner",0.277,0.46,0.063,0.725,0.762,0.184,0.564,0.751,0.816,0.647
"P09","A Horacio Rodriguez Larreta",0.411,0.227,0.195,0.44,0.476,0,0,0.153,0.831,0.385
"P09","A Patricia Bullrich",0.488,0.732,0.756,0.224,0.334,0.788,1,0,0.067,0.445
