"var","categoria","A Pedro Rosemblat por el Frente de Todos","A María Eugenia Vidal por Juntos por el Cambio","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.144,0.209,0.211,0.241,0.193,0.228,0.152
"P04","Casi siempre",0.473,0.493,0.408,0.305,0.454,0.441,0.485
"P04","Casi nunca",0.306,0.247,0.289,0.414,0.203,0.285,0.322
"P04","Nunca, pero esta es una excepción",0.077,0.051,0.092,0.04,0.15,0.046,0.041
"P06","Del Frente de Todos y el peronismo",0.801,0.077,0.134,0.276,0.36,0.277,0.337
"P06","De Cambiemos",0.12,0.788,0.241,0.05,0.151,0.391,0.338
"P06","De los Liberales libertarios",0.022,0.086,0.579,0.114,0.141,0.16,0.113
"P06","De la Izquierda",0.02,0.007,0.019,0.471,0.247,0.025,0.025
"P06","No sabe",0.037,0.042,0.027,0.089,0.101,0.147,0.187
"P07","A Daniel Scioli",0.118,0.301,0.268,0.181,0.081,0.186,0.09
"P07","A Sergio Massa",0.159,0.199,0.427,0.362,0.199,0.218,0.304
"P07","A algún candidato del peronismo",0.054,0.221,0.091,0.042,0.073,0.106,0.14
"P07","A algún candidato del kirchnerismo",0.669,0.279,0.214,0.415,0.647,0.49,0.466
"P08","A Daniel Scioli",0.059,0.18,0.2,0.074,0,0.12,0.112
"P08","A Sergio Massa",0.105,0.153,0.402,0.314,0.163,0.188,0.177
"P08","A algún candidato del peronismo",0.067,0.209,0.107,0.076,0.072,0.108,0.046
"P08","A Cristina Fernández de Kirchner",0.769,0.458,0.291,0.536,0.765,0.584,0.665
"P09","A Horacio Rodriguez Larreta",0.395,0.268,0.138,0.287,0.275,0.223,0.373
"P09","A Patricia Bullrich",0.418,0.68,0.736,0.553,0.314,0.614,0.553
"P09","A Facundo Manes",0.187,0.023,0.068,0.066,0.204,0.079,0.027
"P09","A Gerardo Morales",0,0.029,0.058,0.094,0.207,0.084,0.047
"P10","Leandro Santoro por el Frente de Todos",0.715,0.059,0.13,0.23,0.336,0.263,0.292
"P10","Jorge Macri por Juntos por el Cambio",0.089,0.541,0.212,0.064,0.091,0.241,0.158
"P10","Martín Lousteau por Juntos por el Cambio",0.073,0.318,0.065,0.087,0.126,0.251,0.226
"P10","Ramiro Marra por La Libertad Avanza",0.019,0.018,0.499,0.056,0.065,0.042,0.009
"P10","Al candidato del Frente de Izquierda",0.018,0.002,0.007,0.463,0.008,0,0.029
"P10","A Luis Zamora por Autodeterminación y Libertad",0.012,0.004,0.003,0.036,0.313,0.016,0.011
"P10","En blanco",0.036,0.019,0.029,0.028,0.011,0.105,0.022
"P10","No sabe",0.038,0.039,0.055,0.036,0.05,0.082,0.253
"P11","María Eugenia Vidal por Juntos por el Cambio",0.083,0.533,0.099,0.007,0.119,0.106,0.086
"P11","Martín Lousteau por Juntos por el Cambio",0.109,0.311,0.13,0.069,0.141,0.284,0.217
"P11","Leandro Santoro por el Frente de Todos",0.706,0.073,0.115,0.284,0.286,0.264,0.301
"P11","Ramiro Marra por La Libertad Avanza",0.026,0.029,0.558,0.098,0.042,0.027,0.021
"P11","Al candidato del Frente de Izquierda",0.012,0.001,0.004,0.425,0.056,0,0.011
"P11","A Luis Zamora por Autodeterminación y Libertad",0.01,0,0,0.041,0.269,0.024,0.015
"P11","En blanco",0.015,0.009,0.033,0.03,0.009,0.18,0.041
"P11","No sabe",0.039,0.044,0.061,0.046,0.078,0.115,0.308
"P12","A Jorge Macri por Juntos por el Cambio",0.056,0.423,0.165,0.065,0.092,0.159,0.136
"P12","A Martín Lousteau por Juntos por el Cambio",0.055,0.255,0.065,0.112,0.163,0.207,0.192
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.065,0.199,0.166,0.056,0.038,0.146,0.16
"P12","A Leandro Santoro por el Frente de Todos",0.627,0.048,0.098,0.268,0.275,0.25,0.259
"P12","A Matías Lammens por el Frente de Todos",0.121,0.027,0.038,0.033,0.081,0.057,0.017
"P12","A Ramiro Marra por La Libertad Avanza",0.009,0.007,0.414,0.056,0.1,0.025,0.02
"P12","Al candidato del Frente de Izquierda",0.009,0.004,0.011,0.382,0.014,0,0.014
"P12","A Luis Zamora por Autodeterminación y Libertad",0.007,0.003,0,0.016,0.221,0.038,0.034
"P12","En blanco",0.025,0.008,0.034,0.012,0,0.087,0.023
"P12","No sabe",0.026,0.026,0.009,0,0.016,0.031,0.145
"P13","A Martín Lousteau por Juntos por el Cambio",0.073,0.259,0.081,0.14,0.092,0.198,0.16
"P13","A Jorge Macri por Juntos por el Cambio",0.058,0.418,0.15,0.065,0.092,0.224,0.128
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.038,0.202,0.155,0,0.065,0.134,0.159
"P13","A Leandro Santoro por el Frente de Todos",0.572,0.055,0.084,0.228,0.302,0.234,0.28
"P13","A Pedro Rosemblat por el Frente de Todos",0.222,0.029,0.05,0.015,0.019,0.041,0.03
"P13","A Ramiro Marra por La Libertad Avanza",0.008,0.011,0.449,0.056,0.019,0.025,0.025
"P13","Al candidato del Frente de Izquierda",0.005,0.001,0,0.472,0.063,0.007,0.02
"P13","A Luis Zamora por Autodeterminación y Libertad",0.006,0.002,0,0.009,0.327,0.016,0.032
"P13","En blanco",0.011,0.005,0.023,0.005,0,0.079,0.011
"P13","No sabe",0.007,0.018,0.008,0.01,0.021,0.042,0.155
"P14","A Leandro Santoro por el Frente de Todos",0.552,0.075,0.109,0.267,0.294,0.274,0.303
"P14","A Pedro Rosemblat por el Frente de Todos",0.238,0.038,0.03,0.056,0.023,0.021,0.029
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.089,0.507,0.094,0.017,0.049,0.051,0.044
"P14","A Martín Lousteau por Juntos por el Cambio",0.047,0.304,0.109,0.102,0.151,0.232,0.236
"P14","A Ramiro Marra por La Libertad Avanza",0.027,0.029,0.539,0.02,0.008,0.062,0.039
"P14","Al candidato del Frente de Izquierda",0.008,0.003,0.044,0.409,0.008,0.009,0.013
"P14","A Luis Zamora por Autodeterminación y Libertad",0.006,0.001,0.004,0.122,0.358,0.017,0.003
"P14","En blanco",0.016,0.008,0.033,0.007,0.046,0.255,0.062
"P14","No sabe",0.017,0.035,0.038,0,0.063,0.079,0.271
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.737,0.061,0.114,0.31,0.316,0.308,0.342
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.064,0.612,0.203,0.018,0.1,0.218,0.209
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.089,0.257,0.072,0.075,0.146,0.245,0.189
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.032,0.032,0.531,0.111,0.021,0.04,0.027
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.033,0.004,0.057,0.368,0.086,0.013,0.01
"P15","A Luis Zamora por Autodeterminación y Libertad",0.006,0.005,0.012,0.08,0.26,0.016,0.008
"P15","En blanco",0.012,0.007,0.001,0.033,0.061,0.1,0.018
"P15","No sabe",0.027,0.022,0.01,0.005,0.01,0.06,0.197
