"var","categoria","A Daniel Scioli","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Siempre",0.324,0.179,0.154,0.152
"P04","Casi siempre",0.32,0.382,0.359,0.427
"P04","Casi nunca",0.319,0.342,0.387,0.352
"P04","Nunca, pero esta es una excepción",0.037,0.097,0.1,0.069
"P08","A Daniel Scioli",0.44,0.036,0.14,0.007
"P08","A Sergio Massa",0.07,0.614,0.04,0.028
"P08","A algún candidato del peronismo",0.054,0.067,0.592,0.025
"P08","A Cristina Fernández de Kirchner",0.436,0.283,0.228,0.94
"P10","Leandro Santoro por el Frente de Todos",0.695,0.676,0.518,0.787
"P10","Jorge Macri por Juntos por el Cambio",0.071,0.023,0.124,0.007
"P10","Martín Lousteau por Juntos por el Cambio",0.109,0.164,0.115,0.019
"P10","Ramiro Marra por La Libertad Avanza",0.013,0.009,0.075,0.005
"P10","Al candidato del Frente de Izquierda",0.008,0.011,0.03,0.02
"P10","A Luis Zamora por Autodeterminación y Libertad",0.012,0.02,0.038,0.028
"P10","En blanco",0.028,0.005,0.038,0.037
"P10","No sabe",0.064,0.092,0.062,0.097
"P11","María Eugenia Vidal por Juntos por el Cambio",0.242,0.029,0.107,0.02
"P11","Martín Lousteau por Juntos por el Cambio",0.111,0.185,0.157,0.039
"P11","Leandro Santoro por el Frente de Todos",0.533,0.656,0.507,0.813
"P11","Ramiro Marra por La Libertad Avanza",0.017,0.004,0.085,0.004
"P11","Al candidato del Frente de Izquierda",0.004,0.02,0.029,0.013
"P11","A Luis Zamora por Autodeterminación y Libertad",0.012,0.014,0.035,0.028
"P11","En blanco",0.02,0.005,0.028,0.025
"P11","No sabe",0.061,0.087,0.052,0.058
"P12","A Jorge Macri por Juntos por el Cambio",0.033,0.012,0.071,0.003
"P12","A Martín Lousteau por Juntos por el Cambio",0.089,0.099,0.108,0.017
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.035,0.091,0.115,0.036
"P12","A Leandro Santoro por el Frente de Todos",0.623,0.507,0.52,0.696
"P12","A Matías Lammens por el Frente de Todos",0.111,0.155,0.074,0.11
"P12","A Ramiro Marra por La Libertad Avanza",0.013,0.013,0.035,0.012
"P12","Al candidato del Frente de Izquierda",0.026,0.006,0.012,0.009
"P12","A Luis Zamora por Autodeterminación y Libertad",0.032,0.054,0.016,0.02
"P12","En blanco",0.01,0.01,0.021,0.035
"P12","No sabe",0.028,0.053,0.028,0.062
"P13","A Martín Lousteau por Juntos por el Cambio",0.041,0.121,0.127,0.012
"P13","A Jorge Macri por Juntos por el Cambio",0.094,0.1,0.076,0.033
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.046,0.016,0.133,0.005
"P13","A Leandro Santoro por el Frente de Todos",0.629,0.52,0.479,0.677
"P13","A Pedro Rosemblat por el Frente de Todos",0.125,0.138,0.046,0.179
"P13","A Ramiro Marra por La Libertad Avanza",0.019,0.008,0.031,0.001
"P13","Al candidato del Frente de Izquierda",0.013,0.014,0.03,0.011
"P13","A Luis Zamora por Autodeterminación y Libertad",0.015,0.025,0.014,0.03
"P13","En blanco",0.007,0.003,0.033,0.025
"P13","No sabe",0.011,0.055,0.031,0.027
"P14","A Leandro Santoro por el Frente de Todos",0.596,0.559,0.539,0.659
